"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) & (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"    Separated","2.3%","±1.1"
"    Never married","35.7%","±3.6"
"    Male 15 years and over","26,653","±3,283"
"    Now married, except separated","53.7%","±4.8"
"    Widowed","1.5%","±0.9"
"    Divorced","4.5%","±2.3"
"    Separated","2.6%","±2.1"
"    Never married","37.8%","±4.6"
"    Female 15 years and over","34,561","±3,103"
"    Now married, except separated","47.9%","±4.2"
"    Widowed","7.8%","±2.1"
"    Divorced","8.0%","±2.2"
"    Separated","2.2%","±1.1"
"    Never married","34.1%","±4.5"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","20,611","±3,207"
"    Nursery school, preschool","8.0%","±3.0"
"    Kindergarten","1.9%","±1.6"
"    Elementary school (grades 1-8)","37.4%","±7.0"
"    High school (grades 9-12)","12.5%","±3.9"
"    College or graduate school","40.2%","±7.5"
"    Male 3 years and over enrolled in school","9,938","±1,892"
"    Percent enrolled in kindergarten to grade 12","46.0%","±9.2"
"    Percent enrolled in college or graduate school","43.7%","±10.4"
"        Female 3 years and over enrolled in school","10,673","±2,234"
"    Percent enrolled in kindergarten to grade 12","57.2%","±8.4"
"    Percent enrolled in college or graduate school","36.9%","±8.5"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","53,879","±4,887"
"    Less than high school diploma","3.7%","±1.4"
"    High school graduate (includes equivalency)","8.9%","±2.9"
"    Some college or associate's degree","28.6%","±4.8"
"    Bachelor's degree","49.3%","±4.5"
"    Graduate or professional degree","9.5%","±2.3"
"    High school graduate or higher","96.3%","±1.4"
"    Male, high school graduate or higher","97.8%","±1.2"
"    Female, high school graduate or higher","95.1%","±2.0"
"    Bachelor's degree or higher","58.8%","±5.3"
"    Male, bachelor's degree or higher","53.4%","±7.1"
"    Female, bachelor's degree or higher","62.8%","±5.6"
"FERTILITY","",""
"    Women 15 to 50 years","20,588","±2,552"
"    Women 15 to 50 years who had a birth in the past 12 months","1,414","±731"
"        Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"            As a percent of all women with a birth in the past 12 months","N","N"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","46,850","±3,919"
"    Living with grandchild(ren)","7.4%","±2.4"
"        Responsible for grandchild(ren)","24.8%","±19.4"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","59,053","±5,599"
"    Civilian veteran","2.7%","±1.1"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","74,773","±7,500"
"    With a disability","6.0%","±1.3"
"    Civilian noninstitutionalized population under 18 years","16,192","±2,855"
"    With a disability","1.7%","±1.4"
"    Civilian noninstitutionalized population 18 to 64 years","48,715","±5,124"
"    With a disability","3.9%","±1.3"
"    Civilian noninstitutionalized population 65 years and older","9,866","±1,775"
"    With a disability","23.6%","±8.4"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","73,776","±7,207"
"    Same house","84.1%","±3.5"
"    Different house in the U.S.","13.8%","±3.5"
"        Same county","11.1%","±3.3"
"        Different county","2.7%","±0.9"
"            Same state","1.4%","±0.8"
"            Different state","1.3%","±0.6"
"    Abroad","2.1%","±1.2"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","28,666","±3,882"
"    Male","47.5%","±4.4"
"    Female","52.5%","±4.4"
"    Foreign born","46,579","±4,962"
"    Male","41.6%","±3.0"
"    Female","58.4%","±3.0"
"    Foreign born; naturalized U.S. citizen","29,855","±3,079"
"    Male","37.8%","±3.4"
"    Female","62.2%","±3.4"
"    Foreign born; not a U.S. citizen","16,724","±3,367"
"    Male","48.4%","±6.7"
"    Female","51.6%","±6.7"
"    Population born outside the United States","46,579","±4,962"
"    Entered 2000 or later","35.7%","±5.2"
"    Entered 1990 to 1999","30.5%","±4.7"
"    Entered before 1990","33.8%","±4.5"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","46,579","±4,962"
"    Europe","N","N"
"    Asia","N","N"
"    Africa","N","N"
"    Oceania","N","N"
"    Latin America","N","N"
"    Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","69,907","±6,807"
"    English only","35.6%","±4.1"
"    Language other than English","64.4%","±4.1"
"        Speak English less than ""very well""","23.8%","±3.8"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","60,722","±5,730"
"    In labor force","76.9%","±2.7"
"        Civilian labor force","76.9%","±2.7"
"            Employed","72.2%","±2.8"
"            Unemployed","4.7%","±1.6"
"                Percent of civilian labor force","6.1%","±2.1"
"        Armed Forces","0.0%","±0.2"
"    Not in labor force","23.1%","±2.7"
"    Females 16 years and over","34,411","±3,083"
"    In labor force","76.2%","±3.7"
"        Civilian labor force","76.2%","±3.7"
"            Employed","73.6%","±3.6"
"            Unemployed","2.6%","±1.2"
"                Percent of civilian labor force","3.4%","±1.5"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","42,933","±4,326"
"    Car, truck, or van - drove alone","66.4%","±4.1"
"    Car, truck, or van - carpooled","9.5%","±2.7"
"    Public transportation (excluding taxicab)","15.9%","±3.2"
"    Walked","4.4%","±1.8"
"    Other means","1.2%","±0.7"
"    Worked at home","2.7%","±1.3"
"    Mean travel time to work (minutes)","30.6","±2.0"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","43,837","±4,342"
"    Management, business, science, and arts occupations","50.4%","±5.1"
"    Service occupations","22.7%","±4.3"
"    Sales and office occupations","16.8%","±3.7"
"    Natural resources, construction, and maintenance occupations","1.9%","±1.1"
"    Production, transportation, and material moving occupations","8.3%","±2.3"
"    Male civilian employed population 16 years and over","18,501","±2,322"
"    Management, business, science, and arts occupations","42.6%","±6.9"
"    Service occupations","17.5%","±6.0"
"    Sales and office occupations","20.2%","±5.3"
"    Natural resources, construction, and maintenance occupations","3.8%","±2.4"
"    Production, transportation, and material moving occupations","16.0%","±4.5"
"    Female civilian employed population 16 years and over","25,336","±2,638"
"    Management, business, science, and arts occupations","56.0%","±5.8"
"    Service occupations","26.6%","±5.0"
"    Sales and office occupations","14.2%","±3.8"
"    Natural resources, construction, and maintenance occupations","0.5%","±0.6"
"    Production, transportation, and material moving occupations","2.7%","±1.9"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","43,837","±4,342"
"    Agriculture, forestry, fishing and hunting, and mining","0.2%","±0.3"
"    Construction","0.7%","±0.7"
"    Manufacturing","7.9%","±2.3"
"    Wholesale trade","1.5%","±1.1"
"    Retail trade","8.3%","±2.2"
"    Transportation and warehousing, and utilities","3.6%","±1.7"
"    Information","1.7%","±1.2"
"    Finance and insurance, and real estate and rental and leasing","6.5%","±2.5"
"    Professional, scientific, and management, and administrative and waste management services","7.9%","±2.4"
"    Educational services, and health care and social assistance","46.8%","±5.1"
"    Arts, entertainment, and recreation, and accommodation and food services","8.5%","±3.1"
"    Other services (except public administration)","4.3%","±2.1"
"    Public administration","2.2%","±1.0"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","43,837","±4,342"
"    Private wage and salary workers","87.6%","±2.6"
"    Government workers","8.0%","±2.0"
"    Self-employed workers in own not incorporated business","4.2%","±1.9"
"    Unpaid family workers","0.2%","±0.3"
"INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","22,701","±2,550"
"    Median household income (dollars)","82,387","±4,148"
"    With earnings","94.7%","±1.8"
"        Mean earnings (dollars)","91,562","±8,021"
"    With Social Security income","18.8%","±3.7"
"        Mean Social Security income (dollars)","16,029","±1,769"
"    With Supplemental Security Income","2.8%","±1.4"
"        Mean Supplemental Security Income (dollars)","9,095","±2,303"
"    With cash public assistance income","3.3%","±1.8"
"        Mean cash public assistance income (dollars)","6,897","±5,040"
"    With retirement income","7.2%","±2.3"
"        Mean retirement income (dollars)","23,199","±7,163"
"    With Food Stamp/SNAP benefits","2.9%","±1.6"
"    Families","15,107","±1,947"
"    Median family income (dollars)","90,562","±6,793"
"        Married-couple family","78.2%","±5.3"
"    Median income (dollars)","99,231","±9,544"
"        Male householder, no spouse present, family","5.1%","±2.9"
"    Median income (dollars)","36,094","±14,812"
"        Female householder, no husband present, family","16.7%","±4.9"
"    Median income (dollars)","59,063","±30,391"
"    Individuals","75,245","±7,423"
"    Per capita income (dollars)","31,852","±2,334"
"    With earnings for full-time, year-round workers:","",""
"        Male","12,693","±2,022"
"        Female","16,985","±2,211"
"        Mean earnings (dollars) for full-time, year-round workers:","",""
"            Male","60,664","±6,527"
"            Female","63,235","±6,082"
"        Median earnings (dollars) full-time, year-round workers:","",""
"            Male","50,330","±7,353"
"            Female","56,133","±5,712"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","74,773","±7,500"
"    With private health insurance","77.2%","±3.7"
"    With public coverage","18.8%","±2.8"
"    No health insurance coverage","10.8%","±3.0"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","3.8%","±2.0"
"        With related children under 18 years","2.8%","±2.4"
"            With related children under 5 years only","N","N"
"    Married-couple family","3.4%","±2.3"
"        With related children under 18 years","N","N"
"            With related children under 5 years only","N","N"
"    Female householder, no husband present, family","4.7%","±4.7"
"        With related children under 18 years","N","N"
"            With related children under 5 years only","N","N"
"    All people","5.6%","±1.8"
"    Under 18 years","3.6%","±2.6"
"        Related children under 18 years","3.6%","±2.6"
"            Related children under 5 years","4.8%","±4.6"
"            Related children 5 to 17 years","3.1%","±2.4"
"    18 years and over","6.1%","±2.0"
"    18 to 64 years","6.2%","±2.1"
"    65 years and over","5.5%","±4.2"
"    People in families","3.4%","±1.6"
"    Unrelated individuals 15 years and over","15.4%","±5.5"
"HOUSING TENURE","",""
"    Occupied housing units","22,701","±2,550"
"    Owner-occupied housing units","58.8%","±5.3"
"    Renter-occupied housing units","41.2%","±5.3"
"    Average household size of owner-occupied unit","3.52","±0.28"
"    Average household size of renter-occupied unit","2.47","±0.25"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","22,701","±2,550"
"    1-unit, detached or attached","46.2%","±4.6"
"    2 to 4 units","17.3%","±3.9"
"    5 or more units","36.5%","±5.4"
"    Mobile home, boat, RV, van, etc.","0.0%","±0.6"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","22,701","±2,550"
"    Built 2000 or later","11.6%","±3.5"
"    Built 1990 to 1999","10.2%","±3.6"
"    Built 1980 to 1989","9.6%","±2.9"
"    Built 1960 to 1979","25.2%","±5.0"
"    Built 1940 to 1959","26.0%","±4.4"
"    Built 1939 or earlier","17.4%","±4.3"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","22,701","±2,550"
"    None","13.4%","±4.3"
"    1 or more","86.6%","±4.3"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","22,701","±2,550"
"    Gas","81.0%","±5.3"
"    Electricity","18.9%","±5.3"
"    All other fuels","0.1%","±0.2"
"    No fuel used","0.0%","±0.6"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","22,701","±2,550"
"    No telephone service available","1.9%","±1.3"
"    1.01 or more occupants per room","9.7%","±3.4"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","11,826","±1,544"
"    Less than 30 percent","61.6%","±6.1"
"    30 percent or more","38.4%","±6.1"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","13,358","±1,573"
"    Median value (dollars)","270,300","±21,154"
"    Median selected monthly owner costs with a mortgage (dollars)","2,238","±112"
"    Median selected monthly owner costs without a mortgage (dollars)","713","±191"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","9,158","±1,876"
"    Less than 30 percent","62.0%","±10.5"
"    30 percent or more","38.0%","±10.5"
"GROSS RENT","",""
"    Occupied units paying rent","9,158","±1,876"
"    Median gross rent (dollars)","968","±67"
