"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"        Other means","1.9%","±1.0"
"        Worked at home","3.5%","±1.5"
"        Mean travel time to work (minutes)","30.6","±1.6"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","47,110","±3,947"
"        Management, business, science, and arts occupations","52.5%","±4.5"
"        Service occupations","17.3%","±3.2"
"        Sales and office occupations","22.1%","±3.4"
"        Natural resources, construction, and maintenance occupations","1.6%","±0.9"
"        Production, transportation, and material moving occupations","6.6%","±1.6"
"    Male civilian employed population 16 years and over","20,686","±2,266"
"        Management, business, science, and arts occupations","49.1%","±6.4"
"        Service occupations","16.1%","±4.1"
"        Sales and office occupations","20.2%","±4.8"
"        Natural resources, construction, and maintenance occupations","2.4%","±1.4"
"        Production, transportation, and material moving occupations","12.3%","±3.1"
"    Female civilian employed population 16 years and over","26,424","±2,517"
"        Management, business, science, and arts occupations","55.1%","±5.0"
"        Service occupations","18.2%","±3.8"
"        Sales and office occupations","23.7%","±4.2"
"        Natural resources, construction, and maintenance occupations","0.9%","±1.1"
"        Production, transportation, and material moving occupations","2.1%","±1.5"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","47,110","±3,947"
"        Agriculture, forestry, fishing and hunting, and mining","0.0%","±0.3"
"        Construction","0.4%","±0.6"
"        Manufacturing","7.5%","±1.7"
"        Wholesale trade","2.8%","±1.1"
"        Retail trade","8.6%","±2.3"
"        Transportation and warehousing, and utilities","4.0%","±1.4"
"        Information","2.8%","±1.7"
"        Finance and insurance, and real estate and rental and leasing","6.0%","±1.7"
"        Professional, scientific, and management, and administrative and waste management services","11.7%","±2.4"
"        Educational services, and health care and social assistance","44.6%","±3.4"
"        Arts, entertainment, and recreation, and accommodation and food services","6.4%","±1.9"
"        Other services (except public administration)","3.0%","±1.2"
"        Public administration","2.2%","±1.2"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","47,110","±3,947"
"        Private wage and salary workers","90.3%","±2.1"
"        Government workers","8.3%","±2.1"
"        Self-employed workers in own not incorporated business","1.3%","±0.7"
"        Unpaid family workers","0.1%","±0.2"
"INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","25,286","±2,393"
"        Median household income (dollars)","85,545","±9,092"
"    With earnings","92.1%","±2.6"
"        Mean earnings (dollars)","100,788","±9,253"
"    With Social Security income","20.6%","±3.5"
"        Mean Social Security income (dollars)","22,370","±3,109"
"    With Supplemental Security Income","4.1%","±1.6"
"        Mean Supplemental Security Income (dollars)","7,439","±1,602"
"    With cash public assistance income","2.5%","±1.3"
"        Mean cash public assistance income (dollars)","2,198","±1,368"
"    With retirement income","10.1%","±2.8"
"        Mean retirement income (dollars)","31,051","±9,412"
"    With Food Stamp/SNAP benefits","7.6%","±2.6"
"    Families","17,532","±1,747"
"        Median family income (dollars)","94,014","±8,821"
"            Married-couple family","78.3%","±4.2"
"        Median income (dollars)","115,315","±14,865"
"            Male householder, no spouse present, family","4.7%","±2.9"
"        Median income (dollars)","58,906","±42,124"
"            Female householder, no husband present, family","17.0%","±4.1"
"        Median income (dollars)","46,875","±14,450"
"    Individuals","81,632","±6,453"
"        Per capita income (dollars)","35,065","±2,547"
"    With earnings for full-time, year-round workers:","",""
"        Male","14,374","±1,673"
"        Female","19,081","±2,160"
"    Mean earnings (dollars) for full-time, year-round workers:","",""
"        Male","64,783","±5,360"
"        Female","69,022","±8,419"
"    Median earnings (dollars) full-time, year-round workers:","",""
"        Male","56,228","±5,459"
"        Female","57,797","±8,031"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","81,560","±6,435"
"        With private health insurance","79.7%","±2.7"
"        With public coverage","21.8%","±2.7"
"        No health insurance coverage","6.6%","±2.1"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","3.0%","±1.6"
"        With related children of the householder under 18 years","6.3%","±3.4"
"            With related children of the householder under 5 years only","N","N"
"        Married-couple family","2.1%","±1.5"
"            With related children of the householder under 18 years","4.6%","±3.3"
"                With related children of the householder under 5 years only","N","N"
"        Female householder, no husband present, family","7.4%","±7.9"
"            With related children of the householder under 18 years","14.2%","±13.5"
"                With related children of the householder under 5 years only","63.9%","±62.0"
"    All people","6.5%","±1.8"
"        Under 18 years","9.7%","±4.2"
"            Related children of the householder under 18 years","9.7%","±4.2"
"                Related children of the householder under 5 years","5.9%","±5.9"
"                Related children of the householder 5 to 17 years","11.0%","±4.7"
"        18 years and over","5.6%","±1.5"
"        18 to 64 years","6.4%","±1.8"
"        65 years and over","2.4%","±1.7"
"        People in families","4.5%","±2.0"
"        Unrelated individuals 15 years and over","17.0%","±5.3"
"HOUSING TENURE","",""
"    Occupied housing units","25,286","±2,393"
"        Owner-occupied housing units","58.9%","±4.7"
"        Renter-occupied housing units","41.1%","±4.7"
"    Average household size of owner-occupied unit","3.20","±0.20"
"    Average household size of renter-occupied unit","2.34","±0.26"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","25,286","±2,393"
"        1-unit, detached or attached","45.7%","±5.0"
"        2 to 4 units","16.1%","±3.8"
"        5 or more units","37.6%","±6.0"
"        Mobile home, boat, RV, van, etc.","0.6%","±0.6"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","25,286","±2,393"
"        Built 2014 or later","0.5%","±0.6"
"        Built 2010 to 2013","0.6%","±0.5"
"        Built 2000 to 2009","17.0%","±5.8"
"        Built 1980 to 1999","16.8%","±3.9"
"        Built 1960 to 1979","23.7%","±3.7"
"        Built 1940 to 1959","18.7%","±4.0"
"        Built 1939 or earlier","22.6%","±4.2"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","25,286","±2,393"
"        None","11.4%","±3.5"
"        1 or more","88.6%","±3.5"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","25,286","±2,393"
"        Gas","79.7%","±4.1"
"        Electricity","18.5%","±3.9"
"        All other fuels","1.0%","±0.8"
"        No fuel used","0.9%","±0.8"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","25,286","±2,393"
"        No telephone service available","5.0%","±2.4"
"        1.01 or more occupants per room","4.9%","±1.9"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","11,405","±1,531"
"        Less than 30 percent","69.9%","±6.0"
"        30 percent or more","30.1%","±6.0"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","14,902","±1,676"
"        Median value (dollars)","267,200","±28,303"
"        Median selected monthly owner costs with a mortgage (dollars)","2,035","±142"
"        Median selected monthly owner costs without a mortgage (dollars)","853","±67"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","10,178","±1,654"
"        Less than 30 percent","66.7%","±8.0"
"        30 percent or more","33.3%","±8.0"
"GROSS RENT","",""
"    Occupied units paying rent","10,178","±1,654"
"        Median gross rent (dollars)","1,185","±120"
"COMPUTERS AND INTERNET USE","",""
"    Total households","25,286","±2,393"
"        With a computer","95.5%","±2.1"
"        With a broadband Internet subscription","88.2%","±3.1"
