"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","33,632","±4,243"
"        Male","52.1%","±3.9"
"        Female","47.9%","±3.9"
"    Foreign born","50,078","±5,279"
"        Male","39.5%","±2.5"
"        Female","60.5%","±2.5"
"    Foreign born; naturalized U.S. citizen","35,849","±4,393"
"        Male","40.8%","±3.2"
"        Female","59.2%","±3.2"
"    Foreign born; not a U.S. citizen","14,229","±3,071"
"        Male","36.3%","±4.7"
"        Female","63.7%","±4.7"
"    Population born outside the United States","50,078","±5,279"
"        Entered 2010 or later","14.2%","±4.0"
"        Entered 2000 to 2009","26.3%","±3.6"
"        Entered before 2000","59.5%","±4.9"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","50,078","±5,279"
"        Europe","N","N"
"        Asia","N","N"
"        Africa","N","N"
"        Oceania","N","N"
"        Latin America","N","N"
"        Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","78,229","±7,559"
"        English only","37.3%","±3.4"
"        Language other than English","62.7%","±3.4"
"            Speak English less than ""very well""","19.3%","±3.9"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","67,466","±6,736"
"        In labor force","70.3%","±2.8"
"            Civilian labor force","70.0%","±2.9"
"                Employed","67.7%","±2.8"
"                Unemployed","2.3%","±1.0"
"                    Unemployment Rate","3.3%","±1.4"
"            Armed Forces","0.3%","±0.3"
"        Not in labor force","29.7%","±2.8"
"    Females 16 years and over","38,899","±3,786"
"        In labor force","65.2%","±3.6"
"            Civilian labor force","65.2%","±3.6"
"                Employed","62.7%","±3.8"
"                Unemployed","2.5%","±1.2"
"                    Unemployment Rate","3.8%","±1.9"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","45,336","±5,103"
"        Car, truck, or van - drove alone","63.6%","±5.6"
"        Car, truck, or van - carpooled","11.6%","±3.4"
"        Public transportation (excluding taxicab)","16.5%","±4.1"
"        Walked","3.7%","±1.5"
"        Other means","2.5%","±1.4"
"        Worked at home","2.1%","±1.1"
"        Mean travel time to work (minutes)","35.3","±2.1"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","45,672","±5,139"
"        Management, business, science, and arts occupations","50.8%","±4.7"
"        Service occupations","19.3%","±4.0"
"        Sales and office occupations","20.4%","±3.9"
"        Natural resources, construction, and maintenance occupations","1.8%","±1.2"
"        Production, transportation, and material moving occupations","7.6%","±2.1"
"    Male civilian employed population 16 years and over","21,298","±3,156"
"        Management, business, science, and arts occupations","42.7%","±6.5"
"        Service occupations","16.4%","±4.8"
"        Sales and office occupations","23.3%","±6.7"
"        Natural resources, construction, and maintenance occupations","3.5%","±2.5"
"        Production, transportation, and material moving occupations","14.1%","±3.8"
"    Female civilian employed population 16 years and over","24,374","±2,830"
"        Management, business, science, and arts occupations","57.9%","±7.1"
"        Service occupations","21.9%","±5.3"
"        Sales and office occupations","17.9%","±4.5"
"        Natural resources, construction, and maintenance occupations","0.4%","±0.6"
"        Production, transportation, and material moving occupations","2.0%","±1.5"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","45,672","±5,139"
"        Agriculture, forestry, fishing and hunting, and mining","0.0%","±0.3"
"        Construction","0.7%","±0.6"
"        Manufacturing","5.6%","±1.9"
"        Wholesale trade","1.5%","±0.8"
"        Retail trade","10.7%","±3.2"
"        Transportation and warehousing, and utilities","5.2%","±1.8"
"        Information","1.5%","±0.8"
"        Finance and insurance, and real estate and rental and leasing","6.5%","±2.1"
"        Professional, scientific, and management, and administrative and waste management services","8.9%","±2.3"
"        Educational services, and health care and social assistance","43.6%","±3.7"
"        Arts, entertainment, and recreation, and accommodation and food services","4.6%","±1.6"
"        Other services (except public administration)","7.9%","±3.6"
"        Public administration","3.2%","±1.6"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","45,672","±5,139"
"        Private wage and salary workers","84.8%","±2.5"
"        Government workers","10.9%","±2.4"
"        Self-employed workers in own not incorporated business","3.7%","±1.4"
"        Unpaid family workers","0.7%","±0.7"
"INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","26,139","±2,447"
"        Median household income (dollars)","80,633","±7,582"
"    With earnings","88.0%","±2.8"
"        Mean earnings (dollars)","107,240","±9,626"
"    With Social Security income","26.9%","±4.1"
"        Mean Social Security income (dollars)","18,420","±2,190"
"    With Supplemental Security Income","3.5%","±1.6"
"        Mean Supplemental Security Income (dollars)","9,327","±1,944"
"    With cash public assistance income","2.5%","±1.4"
"        Mean cash public assistance income (dollars)","2,282","±764"
"    With retirement income","8.9%","±2.6"
"        Mean retirement income (dollars)","24,875","±9,175"
"    With Food Stamp/SNAP benefits","5.3%","±2.2"
"    Families","18,198","±2,036"
"        Median family income (dollars)","88,280","±13,954"
"            Married-couple family","67.6%","±6.3"
"        Median income (dollars)","103,922","±11,399"
"            Male householder, no spouse present, family","8.6%","±4.0"
"        Median income (dollars)","111,429","±100,484"
"            Female householder, no husband present, family","23.9%","±5.1"
"        Median income (dollars)","65,261","±24,243"
"    Individuals","83,710","±8,098"
"        Per capita income (dollars)","35,506","±2,677"
"    With earnings for full-time, year-round workers:","",""
"        Male","16,680","±2,832"
"        Female","18,185","±2,416"
"    Mean earnings (dollars) for full-time, year-round workers:","",""
"        Male","68,173","±6,788"
"        Female","66,970","±8,892"
"    Median earnings (dollars) full-time, year-round workers:","",""
"        Male","60,040","±3,817"
"        Female","56,729","±8,212"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","83,341","±8,028"
"        With private health insurance","79.4%","±2.9"
"        With public coverage","24.5%","±2.8"
"        No health insurance coverage","4.9%","±1.5"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","5.8%","±3.2"
"        With related children of the householder under 18 years","6.0%","±3.7"
"            With related children of the householder under 5 years only","N","N"
"        Married-couple family","3.5%","±3.3"
"            With related children of the householder under 18 years","N","N"
"                With related children of the householder under 5 years only","N","N"
"        Female householder, no husband present, family","13.5%","±7.6"
"            With related children of the householder under 18 years","23.2%","±15.8"
"                With related children of the householder under 5 years only","N","N"
"    All people","6.9%","±2.0"
"        Under 18 years","5.0%","±3.3"
"            Related children of the householder under 18 years","4.8%","±3.3"
"                Related children of the householder under 5 years","5.6%","±5.4"
"                Related children of the householder 5 to 17 years","4.4%","±3.2"
"        18 years and over","7.4%","±2.0"
"        18 to 64 years","6.8%","±1.8"
"        65 years and over","9.6%","±5.9"
"        People in families","4.0%","±2.0"
"        Unrelated individuals 15 years and over","21.4%","±4.4"
"HOUSING TENURE","",""
"    Occupied housing units","26,139","±2,447"
"        Owner-occupied housing units","58.8%","±5.1"
"        Renter-occupied housing units","41.2%","±5.1"
"    Average household size of owner-occupied unit","3.25","±0.36"
"    Average household size of renter-occupied unit","2.63","±0.25"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","26,139","±2,447"
"        1-unit, detached or attached","49.3%","±4.9"
"        2 to 4 units","17.5%","±4.0"
"        5 or more units","33.0%","±4.2"
"        Mobile home, boat, RV, van, etc.","0.2%","±0.4"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","26,139","±2,447"
"        Built 2014 or later","0.9%","±0.6"
"        Built 2010 to 2013","0.9%","±0.7"
"        Built 2000 to 2009","12.8%","±3.9"
"        Built 1980 to 1999","13.2%","±3.3"
"        Built 1960 to 1979","28.3%","±4.4"
"        Built 1940 to 1959","23.8%","±4.2"
"        Built 1939 or earlier","20.0%","±2.9"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","26,139","±2,447"
"        None","10.5%","±3.2"
"        1 or more","89.5%","±3.2"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","26,139","±2,447"
"        Gas","85.2%","±3.1"
"        Electricity","14.1%","±3.0"
"        All other fuels","0.4%","±0.5"
"        No fuel used","0.2%","±0.4"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","26,139","±2,447"
"        No telephone service available","N","N"
"        1.01 or more occupants per room","5.6%","±2.5"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","11,443","±1,542"
"        Less than 30 percent","70.9%","±6.4"
"        30 percent or more","29.1%","±6.4"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","15,362","±1,706"
"        Median value (dollars)","284,200","±24,065"
"        Median selected monthly owner costs with a mortgage (dollars)","2,056","±154"
"        Median selected monthly owner costs without a mortgage (dollars)","804","±64"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","10,241","±1,752"
"        Less than 30 percent","71.4%","±6.1"
"        30 percent or more","28.6%","±6.1"
"GROSS RENT","",""
"    Occupied units paying rent","10,293","±1,761"
"        Median gross rent (dollars)","1,246","±68"
"COMPUTERS AND INTERNET USE","",""
"    Total households","26,139","±2,447"
"        With a computer","94.2%","±2.6"
"        With a broadband Internet subscription","87.1%","±3.5"
