"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"        In labor force","72.4%","±2.6"
"            Civilian labor force","72.4%","±2.6"
"                Employed","66.2%","±3.0"
"                Unemployed","6.2%","±2.0"
"                    Percent of civilian labor force","8.6%","±2.7"
"            Armed Forces","0.0%","±0.2"
"        Not in labor force","27.6%","±2.6"
"    Females 16 years and over","38,955","±3,743"
"        In labor force","73.4%","±3.3"
"            Civilian labor force","73.4%","±3.3"
"                Employed","68.8%","±3.5"
"                Unemployed","4.6%","±1.9"
"                    Percent of civilian labor force","6.3%","±2.5"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","43,676","±4,058"
"        Car, truck, or van - drove alone","60.2%","±4.7"
"        Car, truck, or van - carpooled","10.8%","±2.5"
"        Public transportation (excluding taxicab)","19.4%","±4.4"
"        Walked","6.1%","±2.2"
"        Other means","2.2%","±1.1"
"        Worked at home","1.3%","±0.8"
"        Mean travel time to work (minutes)","32.3","±2.4"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","44,666","±4,049"
"        Management, business, science, and arts occupations","51.6%","±4.3"
"        Service occupations","17.4%","±3.2"
"        Sales and office occupations","20.9%","±3.1"
"        Natural resources, construction, and maintenance occupations","2.1%","±1.1"
"        Production, transportation, and material moving occupations","8.0%","±2.1"
"    Male civilian employed population 16 years and over","17,867","±1,785"
"        Management, business, science, and arts occupations","42.9%","±6.2"
"        Service occupations","15.9%","±4.4"
"        Sales and office occupations","23.8%","±4.8"
"        Natural resources, construction, and maintenance occupations","3.9%","±1.9"
"        Production, transportation, and material moving occupations","13.5%","±4.2"
"    Female civilian employed population 16 years and over","26,799","±2,867"
"        Management, business, science, and arts occupations","57.5%","±4.9"
"        Service occupations","18.3%","±3.8"
"        Sales and office occupations","18.9%","±3.5"
"        Natural resources, construction, and maintenance occupations","0.9%","±1.2"
"        Production, transportation, and material moving occupations","4.3%","±1.9"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","44,666","±4,049"
"        Agriculture, forestry, fishing and hunting, and mining","0.0%","±0.3"
"        Construction","0.8%","±0.8"
"        Manufacturing","7.8%","±2.1"
"        Wholesale trade","2.1%","±0.9"
"        Retail trade","7.1%","±1.7"
"        Transportation and warehousing, and utilities","5.0%","±1.8"
"        Information","2.0%","±1.0"
"        Finance and insurance, and real estate and rental and leasing","7.9%","±2.3"
"        Professional, scientific, and management, and administrative and waste management services","11.0%","±2.7"
"        Educational services, and health care and social assistance","44.5%","±5.0"
"        Arts, entertainment, and recreation, and accommodation and food services","7.0%","±3.0"
"        Other services (except public administration)","3.6%","±1.3"
"        Public administration","1.1%","±0.8"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","44,666","±4,049"
"        Private wage and salary workers","90.8%","±2.1"
"        Government workers","6.5%","±1.9"
"        Self-employed workers in own not incorporated business","2.6%","±1.0"
"        Unpaid family workers","0.1%","±0.2"
"INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","26,959","±2,114"
"        Median household income (dollars)","75,459","±7,183"
"    With earnings","89.9%","±2.5"
"        Mean earnings (dollars)","91,695","±8,865"
"    With Social Security income","25.3%","±3.7"
"        Mean Social Security income (dollars)","18,454","±1,909"
"    With Supplemental Security Income","4.3%","±1.6"
"        Mean Supplemental Security Income (dollars)","6,401","±1,247"
"    With cash public assistance income","1.9%","±1.2"
"        Mean cash public assistance income (dollars)","2,231","±1,347"
"    With retirement income","8.3%","±2.1"
"        Mean retirement income (dollars)","21,639","±4,680"
"    With Food Stamp/SNAP benefits","7.8%","±2.6"
"    Families","18,855","±1,753"
"        Median family income (dollars)","82,036","±4,854"
"            Married-couple family","70.0%","±5.8"
"        Median income (dollars)","97,686","±8,811"
"            Male householder, no spouse present, family","9.2%","±3.9"
"        Median income (dollars)","50,118","±10,007"
"            Female householder, no husband present, family","20.8%","±4.8"
"        Median income (dollars)","67,023","±4,696"
"    Individuals","83,472","±7,400"
"        Per capita income (dollars)","31,108","±2,404"
"    With earnings for full-time, year-round workers:","",""
"        Male","13,896","±1,504"
"        Female","18,497","±1,984"
"    Mean earnings (dollars) for full-time, year-round workers:","",""
"        Male","61,876","±7,724"
"        Female","60,711","±5,043"
"    Median earnings (dollars) full-time, year-round workers:","",""
"        Male","50,099","±5,195"
"        Female","52,318","±5,180"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","83,472","±7,400"
"        With private health insurance","71.3%","±3.7"
"        With public coverage","21.4%","±2.8"
"        No health insurance coverage","14.4%","±2.3"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","5.4%","±2.6"
"        With related children under 18 years","7.9%","±4.9"
"            With related children under 5 years only","N","N"
"        Married-couple family","4.0%","±3.0"
"            With related children under 18 years","7.1%","±6.4"
"                With related children under 5 years only","N","N"
"        Female householder, no husband present, family","7.1%","±6.6"
"            With related children under 18 years","N","N"
"                With related children under 5 years only","N","N"
"    All people","8.5%","±3.2"
"        Under 18 years","11.2%","±7.8"
"            Related children under 18 years","10.4%","±7.9"
"                Related children under 5 years","22.9%","±25.0"
"                Related children 5 to 17 years","5.4%","±3.4"
"        18 years and over","7.7%","±2.2"
"        18 to 64 years","7.7%","±2.4"
"        65 years and over","7.7%","±4.9"
"        People in families","6.1%","±3.4"
"        Unrelated individuals 15 years and over","20.2%","±6.0"
"HOUSING TENURE","",""
"    Occupied housing units","26,959","±2,114"
"        Owner-occupied housing units","55.8%","±5.0"
"        Renter-occupied housing units","44.2%","±5.0"
"    Average household size of owner-occupied unit","2.98","±0.20"
"    Average household size of renter-occupied unit","2.70","±0.30"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","26,959","±2,114"
"        1-unit, detached or attached","42.4%","±4.2"
"        2 to 4 units","18.2%","±3.3"
"        5 or more units","39.3%","±4.8"
"        Mobile home, boat, RV, van, etc.","0.1%","±0.2"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","26,959","±2,114"
"        Built 2010 or later","0.3%","±0.4"
"        Built 2000 to 2009","12.1%","±3.2"
"        Built 1980 to 1999","18.2%","±4.0"
"        Built 1960 to 1979","25.3%","±3.7"
"        Built 1940 to 1959","20.2%","±3.5"
"        Built 1939 or earlier","23.9%","±4.2"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","26,959","±2,114"
"        None","11.0%","±2.8"
"        1 or more","89.0%","±2.8"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","26,959","±2,114"
"        Gas","83.0%","±3.9"
"        Electricity","16.8%","±3.9"
"        All other fuels","0.2%","±0.4"
"        No fuel used","0.0%","±0.5"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","26,959","±2,114"
"        No telephone service available","2.5%","±1.3"
"        1.01 or more occupants per room","5.7%","±2.5"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","11,018","±1,371"
"        Less than 30 percent","56.3%","±6.9"
"        30 percent or more","43.7%","±6.9"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","15,049","±1,610"
"        Median value (dollars)","230,800","±14,939"
"        Median selected monthly owner costs with a mortgage (dollars)","2,112","±149"
"        Median selected monthly owner costs without a mortgage (dollars)","665","±48"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","11,430","±1,744"
"        Less than 30 percent","68.8%","±6.9"
"        30 percent or more","31.2%","±6.9"
"GROSS RENT","",""
"    Occupied units paying rent","11,478","±1,759"
"        Median gross rent (dollars)","1,026","±68"
"COMPUTERS AND INTERNET USE","",""
"    Total households","26,959","±2,114"
"        With a computer","90.3%","±3.2"
"        With a broadband Internet subscription","83.0%","±4.0"
