"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"    Average family size","3.48","±0.18"
"MARITAL STATUS","",""
"    Population 15 years and over","63,668","±5,992"
"    Now married, except separated","51.4%","±3.8"
"    Widowed","5.8%","±1.4"
"    Divorced","6.9%","±1.9"
"    Separated","1.6%","±0.8"
"    Never married","34.4%","±3.1"
"    Male 15 years and over","27,511","±3,350"
"    Now married, except separated","54.3%","±4.9"
"    Widowed","1.0%","±0.9"
"    Divorced","7.0%","±3.4"
"    Separated","0.6%","±0.5"
"    Never married","37.0%","±4.3"
"    Female 15 years and over","36,157","±3,250"
"    Now married, except separated","49.2%","±4.3"
"    Widowed","9.4%","±2.4"
"    Divorced","6.8%","±2.1"
"    Separated","2.3%","±1.4"
"    Never married","32.3%","±3.6"
"SCHOOL ENROLLMENT","",""
"    Population 3 years and over enrolled in school","18,791","±2,587"
"    Nursery school, preschool","5.0%","±2.6"
"    Kindergarten","4.9%","±2.1"
"    Elementary school (grades 1-8)","37.0%","±6.3"
"    High school (grades 9-12)","16.5%","±3.8"
"    College or graduate school","36.7%","±6.5"
"    Male 3 years and over enrolled in school","9,136","±1,658"
"    Percent enrolled in kindergarten to grade 12","61.7%","±9.1"
"    Percent enrolled in college or graduate school","30.9%","±8.2"
"        Female 3 years and over enrolled in school","9,655","±1,533"
"    Percent enrolled in kindergarten to grade 12","55.2%","±7.7"
"    Percent enrolled in college or graduate school","42.2%","±7.7"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","54,783","±4,827"
"    Less than high school diploma","4.6%","±1.2"
"    High school graduate (includes equivalency)","7.9%","±2.2"
"    Some college or associate's degree","22.8%","±3.2"
"    Bachelor's degree","52.3%","±4.4"
"    Graduate or professional degree","12.4%","±2.3"
"    High school graduate or higher","95.4%","±1.2"
"    Male, high school graduate or higher","95.6%","±2.4"
"    Female, high school graduate or higher","95.3%","±1.7"
"    Bachelor's degree or higher","64.7%","±3.8"
"    Male, bachelor's degree or higher","61.9%","±5.1"
"    Female, bachelor's degree or higher","66.8%","±4.7"
"FERTILITY","",""
"    Women 15 to 50 years","22,421","±2,837"
"    Women 15 to 50 years who had a birth in the past 12 months","1,166","±443"
"        Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"            As a percent of all women with a birth in the past 12 months","N","N"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","49,964","±4,427"
"    Living with grandchild(ren)","4.2%","±1.2"
"        Responsible for grandchild(ren)","N","N"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","61,522","±5,788"
"    Civilian veteran","2.4%","±1.0"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","78,093","±7,320"
"    With a disability","8.2%","±1.5"
"    Civilian noninstitutionalized population under 18 years","16,591","±2,587"
"    With a disability","4.0%","±2.6"
"    Civilian noninstitutionalized population 18 to 64 years","51,062","±5,374"
"    With a disability","4.4%","±1.4"
"    Civilian noninstitutionalized population 65 years and older","10,440","±1,353"
"    With a disability","33.3%","±6.7"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","76,824","±7,274"
"    Same house","87.5%","±2.9"
"    Different house in the U.S.","11.1%","±2.8"
"        Same county","8.8%","±2.6"
"        Different county","2.3%","±1.0"
"            Same state","0.5%","±0.3"
"            Different state","1.8%","±0.9"
"    Abroad","1.4%","±0.7"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","30,785","±4,555"
"    Male","54.7%","±4.0"
"    Female","45.3%","±4.0"
"    Foreign born","47,328","±4,628"
"    Male","39.7%","±2.8"
"    Female","60.3%","±2.8"
"    Foreign born; naturalized U.S. citizen","31,304","±2,858"
"    Male","40.6%","±4.0"
"    Female","59.4%","±4.0"
"    Foreign born; not a U.S. citizen","16,024","±2,977"
"    Male","38.0%","±5.3"
"    Female","62.0%","±5.3"
"    Population born outside the United States","47,328","±4,628"
"    Entered 2010 or later","5.9%","±1.7"
"    Entered 2000 to 2009","32.1%","±3.9"
"    Entered before 2000","62.0%","±3.7"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","47,328","±4,628"
"    Europe","N","N"
"    Asia","N","N"
"    Africa","N","N"
"    Oceania","N","N"
"    Latin America","N","N"
"    Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","72,440","±6,662"
"    English only","31.9%","±3.1"
"    Language other than English","68.1%","±3.1"
"        Speak English less than ""very well""","22.5%","±3.0"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","63,070","±5,924"
"    In labor force","75.3%","±3.0"
"        Civilian labor force","75.3%","±3.0"
"            Employed","69.3%","±3.6"
"            Unemployed","6.1%","±1.7"
"                Percent of civilian labor force","8.1%","±2.3"
"        Armed Forces","0.0%","±0.2"
"    Not in labor force","24.7%","±3.0"
"    Females 16 years and over","35,823","±3,227"
"    In labor force","72.4%","±4.2"
"        Civilian labor force","72.4%","±4.2"
"            Employed","66.1%","±4.6"
"            Unemployed","6.2%","±2.2"
"                Percent of civilian labor force","8.6%","±3.0"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","43,054","±4,976"
"    Car, truck, or van - drove alone","62.8%","±4.0"
"    Car, truck, or van - carpooled","17.1%","±3.4"
"    Public transportation (excluding taxicab)","12.9%","±2.9"
"    Walked","4.9%","±2.3"
"    Other means","0.3%","±0.4"
"    Worked at home","1.9%","±1.0"
"    Mean travel time to work (minutes)","29.3","±2.0"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","43,680","±4,997"
"    Management, business, science, and arts occupations","50.9%","±4.4"
"    Service occupations","19.4%","±3.3"
"    Sales and office occupations","21.5%","±3.6"
"    Natural resources, construction, and maintenance occupations","2.0%","±0.8"
"    Production, transportation, and material moving occupations","6.2%","±2.0"
"    Male civilian employed population 16 years and over","19,987","±2,989"
"    Management, business, science, and arts occupations","47.1%","±6.5"
"    Service occupations","20.2%","±4.7"
"    Sales and office occupations","19.4%","±5.4"
"    Natural resources, construction, and maintenance occupations","3.9%","±1.9"
"    Production, transportation, and material moving occupations","9.4%","±3.7"
"    Female civilian employed population 16 years and over","23,693","±2,860"
"    Management, business, science, and arts occupations","54.1%","±5.0"
"    Service occupations","18.8%","±4.0"
"    Sales and office occupations","23.2%","±4.7"
"    Natural resources, construction, and maintenance occupations","0.4%","±0.4"
"    Production, transportation, and material moving occupations","3.4%","±1.8"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","43,680","±4,997"
"    Agriculture, forestry, fishing and hunting, and mining","0.1%","±0.1"
"    Construction","0.4%","±0.3"
"    Manufacturing","4.8%","±1.5"
"    Wholesale trade","1.5%","±1.1"
"    Retail trade","6.2%","±1.9"
"    Transportation and warehousing, and utilities","5.6%","±1.9"
"    Information","1.4%","±0.7"
"    Finance and insurance, and real estate and rental and leasing","5.9%","±1.8"
"    Professional, scientific, and management, and administrative and waste management services","11.9%","±2.8"
"    Educational services, and health care and social assistance","48.8%","±5.0"
"    Arts, entertainment, and recreation, and accommodation and food services","6.0%","±2.5"
"    Other services (except public administration)","4.1%","±1.3"
"    Public administration","3.3%","±1.7"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","43,680","±4,997"
"    Private wage and salary workers","87.6%","±2.6"
"    Government workers","9.2%","±2.3"
"    Self-employed workers in own not incorporated business","3.1%","±1.1"
"    Unpaid family workers","0.0%","±0.3"
"INCOME IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","23,724","±2,363"
"    Median household income (dollars)","86,429","±8,163"
"    With earnings","92.0%","±2.7"
"        Mean earnings (dollars)","98,921","±8,632"
"    With Social Security income","19.7%","±3.9"
"        Mean Social Security income (dollars)","17,122","±1,487"
"    With Supplemental Security Income","2.9%","±1.8"
"        Mean Supplemental Security Income (dollars)","7,130","±1,511"
"    With cash public assistance income","1.4%","±0.8"
"        Mean cash public assistance income (dollars)","3,208","±2,151"
"    With retirement income","10.0%","±2.5"
"        Mean retirement income (dollars)","57,828","±54,607"
"    With Food Stamp/SNAP benefits","4.2%","±1.4"
"    Families","17,179","±1,723"
"    Median family income (dollars)","89,085","±5,092"
"        Married-couple family","72.2%","±5.7"
"    Median income (dollars)","99,789","±9,604"
"        Male householder, no spouse present, family","5.6%","±2.9"
"    Median income (dollars)","86,275","±17,457"
"        Female householder, no husband present, family","22.2%","±4.8"
"    Median income (dollars)","73,228","±12,907"
"    Individuals","78,113","±7,316"
"    Per capita income (dollars)","34,397","±3,490"
"    With earnings for full-time, year-round workers:","",""
"        Male","16,096","±2,471"
"        Female","17,520","±2,271"
"        Mean earnings (dollars) for full-time, year-round workers:","",""
"            Male","65,673","±10,415"
"            Female","59,222","±4,691"
"        Median earnings (dollars) full-time, year-round workers:","",""
"            Male","50,812","±5,087"
"            Female","51,193","±2,545"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","78,093","±7,320"
"    With private health insurance","75.2%","±3.4"
"    With public coverage","17.7%","±2.5"
"    No health insurance coverage","13.2%","±2.5"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","5.1%","±2.0"
"        With related children under 18 years","4.9%","±3.8"
"            With related children under 5 years only","N","N"
"    Married-couple family","2.4%","±1.6"
"        With related children under 18 years","N","N"
"            With related children under 5 years only","N","N"
"    Female householder, no husband present, family","13.5%","±7.4"
"        With related children under 18 years","18.9%","±13.9"
"            With related children under 5 years only","N","N"
"    All people","7.0%","±1.8"
"    Under 18 years","8.2%","±5.8"
"        Related children under 18 years","7.4%","±5.9"
"            Related children under 5 years","15.6%","±14.7"
"            Related children 5 to 17 years","3.1%","±2.6"
"    18 years and over","6.6%","±1.3"
"    18 to 64 years","5.9%","±1.5"
"    65 years and over","10.1%","±4.3"
"    People in families","4.7%","±2.1"
"    Unrelated individuals 15 years and over","20.2%","±5.2"
"HOUSING TENURE","",""
"    Occupied housing units","23,724","±2,363"
"    Owner-occupied housing units","62.1%","±5.3"
"    Renter-occupied housing units","37.9%","±5.3"
"    Average household size of owner-occupied unit","3.02","±0.21"
"    Average household size of renter-occupied unit","2.88","±0.31"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","23,724","±2,363"
"    1-unit, detached or attached","45.4%","±5.2"
"    2 to 4 units","15.4%","±3.8"
"    5 or more units","39.3%","±5.5"
"    Mobile home, boat, RV, van, etc.","0.0%","±0.6"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","23,724","±2,363"
"    Built 2010 or later","0.0%","±0.6"
"    Built 2000 to 2009","12.0%","±3.1"
"    Built 1980 to 1999","14.0%","±2.9"
"    Built 1960 to 1979","28.2%","±4.9"
"    Built 1940 to 1959","22.0%","±4.4"
"    Built 1939 or earlier","23.8%","±4.6"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","23,724","±2,363"
"    None","11.7%","±3.1"
"    1 or more","88.3%","±3.1"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","23,724","±2,363"
"    Gas","85.1%","±4.3"
"    Electricity","14.5%","±4.3"
"    All other fuels","0.0%","±0.6"
"    No fuel used","0.5%","±0.4"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","23,724","±2,363"
"    No telephone service available","3.2%","±1.9"
"    1.01 or more occupants per room","5.0%","±1.9"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","11,479","±1,774"
"    Less than 30 percent","57.9%","±7.1"
"    30 percent or more","42.1%","±7.1"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","14,724","±1,830"
"    Median value (dollars)","244,700","±17,820"
"    Median selected monthly owner costs with a mortgage (dollars)","2,130","±128"
"    Median selected monthly owner costs without a mortgage (dollars)","819","±190"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","8,589","±1,609"
"    Less than 30 percent","76.5%","±6.7"
"    30 percent or more","23.5%","±6.7"
"GROSS RENT","",""
"    Occupied units paying rent","8,783","±1,625"
"    Median gross rent (dollars)","989","±61"
