"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"        Percent enrolled in college or graduate school","28.2%","±7.1"
"    Female 3 years and over enrolled in school","11,628","±1,554"
"        Percent enrolled in kindergarten to grade 12","55.1%","±7.8"
"        Percent enrolled in college or graduate school","39.3%","±6.9"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","64,226","±5,455"
"        Less than high school diploma","3.3%","±1.2"
"        High school graduate (includes equivalency)","8.1%","±2.3"
"        Some college or associate's degree","22.8%","±3.6"
"        Bachelor's degree","53.6%","±4.6"
"        Graduate or professional degree","12.2%","±2.5"
"        High school graduate or higher","96.7%","±1.2"
"            Male, high school graduate or higher","96.4%","±1.9"
"            Female, high school graduate or higher","96.9%","±1.2"
"        Bachelor's degree or higher","65.8%","±4.4"
"            Male, bachelor's degree or higher","64.1%","±4.9"
"            Female, bachelor's degree or higher","66.9%","±5.2"
"FERTILITY","",""
"    Women 15 to 50 years","24,075","±2,440"
"        Women 15 to 50 years who had a birth in the past 12 months","1,002","±590"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"                As a percent of all women with a birth in the past 12 months","N","N"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","57,864","±5,301"
"        Grandparents living with grandchild(ren)","5.3%","±2.1"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","N","N"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","70,491","±6,071"
"        Civilian veteran","1.4%","±0.7"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","88,822","±6,787"
"        With a disability","7.6%","±1.7"
"    Civilian noninstitutionalized population under 18 years","18,357","±2,598"
"        With a disability","2.9%","±1.7"
"    Civilian noninstitutionalized population 18 to 64 years","54,856","±4,830"
"        With a disability","4.2%","±1.4"
"    Civilian noninstitutionalized population 65 years and older","15,609","±2,278"
"        With a disability","25%","±6.1"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","88,041","±6,802"
"        Same house","88%","±2.5"
"        Different house in the U.S.","9.1%","±2"
"            Same county","6.9%","±1.7"
"            Different county","2.2%","±0.8"
"                Same state","0.4%","±0.3"
"                Different state","1.8%","±0.7"
"        Abroad","2.9%","±1.8"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","34,992","±3,728"
"        Male","48.3%","±3.6"
"        Female","51.7%","±3.6"
"    Foreign born","53,870","±5,628"
"        Male","40.7%","±2.5"
"        Female","59.3%","±2.5"
"        Foreign born; naturalized U.S. citizen","38,154","±3,933"
"            Male","41.2%","±3.3"
"            Female","58.8%","±3.3"
"        Foreign born; not a U.S. citizen","15,716","±3,727"
"            Male","39.5%","±5.6"
"            Female","60.5%","±5.6"
"    Population born outside the United States","53,870","±5,628"
"        Entered 2010 or later","19%","±4.4"
"        Entered 2000 to 2009","21.9%","±4.5"
"        Entered before 2000","59.1%","±4.8"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","53,870","±5,628"
"        Europe","N","N"
"        Asia","N","N"
"        Africa","N","N"
"        Oceania","N","N"
"        Latin America","N","N"
"        Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","84,076","±6,703"
"        English only","36.6%","±3.9"
"        Language other than English","63.4%","±3.9"
"            Speak English less than ""very well""","19.3%","±3.2"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","72,760","±6,170"
"        In labor force","69.7%","±3.3"
"            Civilian labor force","69.7%","±3.3"
"                Employed","67.6%","±3.2"
"                Unemployed","2.1%","±0.7"
"                    Unemployment Rate","3%","±1"
"            Armed Forces","0%","±0.1"
"        Not in labor force","30.3%","±3.3"
"    Females 16 years and over","42,701","±3,720"
"        In labor force","68.9%","±3.7"
"            Civilian labor force","68.9%","±3.7"
"                Employed","67.1%","±3.6"
"                Unemployed","1.8%","±0.9"
"                    Unemployment Rate","2.7%","±1.3"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","48,480","±4,746"
"        Car, truck, or van - drove alone","65.9%","±4.4"
"        Car, truck, or van - carpooled","9%","±2.8"
"        Public transportation (excluding taxicab)","15.3%","±3.1"
"        Walked","4.7%","±1.7"
"        Other means","2.4%","±1.2"
"        Worked at home","2.7%","±1"
"        Mean travel time to work (minutes)","32.5","±1.8"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","49,218","±4,816"
"        Management, business, science, and arts occupations","53.4%","±4.7"
"        Service occupations","20.7%","±4.3"
"        Sales and office occupations","18.8%","±3.2"
"        Natural resources, construction, and maintenance occupations","1%","±0.8"
"        Production, transportation, and material moving occupations","6.1%","±1.8"
"    Male civilian employed population 16 years and over","20,578","±2,434"
"        Management, business, science, and arts occupations","50.1%","±5"
"        Service occupations","18.5%","±4.8"
"        Sales and office occupations","17.6%","±4.7"
"        Natural resources, construction, and maintenance occupations","2.4%","±1.9"
"        Production, transportation, and material moving occupations","11.4%","±3.7"
"    Female civilian employed population 16 years and over","28,640","±3,079"
"        Management, business, science, and arts occupations","55.7%","±6.3"
"        Service occupations","22.3%","±5.6"
"        Sales and office occupations","19.7%","±3.7"
"        Natural resources, construction, and maintenance occupations","0%","±0.5"
"        Production, transportation, and material moving occupations","2.3%","±1.6"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","49,218","±4,816"
"        Agriculture, forestry, fishing and hunting, and mining","0.2%","±0.3"
"        Construction","0.3%","±0.4"
"        Manufacturing","5.4%","±1.4"
"        Wholesale trade","1.3%","±0.6"
"        Retail trade","6%","±1.8"
"        Transportation and warehousing, and utilities","4.8%","±1.5"
"        Information","1.7%","±1.2"
"        Finance and insurance, and real estate and rental and leasing","7.6%","±1.6"
"        Professional, scientific, and management, and administrative and waste management services","11.5%","±2.6"
"        Educational services, and health care and social assistance","47.1%","±4.9"
"        Arts, entertainment, and recreation, and accommodation and food services","8.5%","±2.3"
"        Other services (except public administration)","4.5%","±1.8"
"        Public administration","1.1%","±0.6"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","49,218","±4,816"
"        Private wage and salary workers","88.9%","±2.7"
"        Government workers","7.4%","±2"
"        Self-employed workers in own not incorporated business","3.7%","±1.7"
"        Unpaid family workers","0%","±0.3"
"INCOME IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","28,119","±2,651"
"        Median household income (dollars)","90,519","±6,056"
"        With earnings","87.5%","±3.2"
"            Mean earnings (dollars)","115,456","±10,285"
"        With Social Security income","26.9%","±4.2"
"            Mean Social Security income (dollars)","23,222","±2,174"
"        With Supplemental Security Income","5.5%","±2.3"
"            Mean Supplemental Security Income (dollars)","9,181","±2,171"
"        With cash public assistance income","N","N"
"            Mean cash public assistance income (dollars)","N","N"
"        With retirement income","11.9%","±2.7"
"            Mean retirement income (dollars)","33,164","±17,763"
"        With Food Stamp/SNAP benefits","9%","±3"
"    Families","19,113","±2,174"
"        Median family income (dollars)","104,471","±6,368"
"            Married-couple family","75.5%","±5.2"
"        Median income (dollars)","111,997","±6,984"
"            Male householder, no spouse present, family","7.3%","±3.8"
"        Median income (dollars)","103,879","±15,056"
"            Female householder, no husband present, family","17.2%","±4.6"
"        Median income (dollars)","85,308","±20,204"
"    Individuals","88,862","±6,792"
"        Per capita income (dollars)","40,071","±2,715"
"        With earnings for full-time, year-round workers:","",""
"            Male","15,830","±1,968"
"            Female","20,985","±2,339"
"        Mean earnings (dollars)  for full-time, year-round workers:","",""
"            Male","72,096","±7,662"
"            Female","72,785","±9,092"
"        Median earnings (dollars) full-time, year-round workers:","",""
"            Male","61,894","±5,672"
"            Female","56,443","±7,869"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","88,822","±6,787"
"        With private health insurance","76.1%","±3.2"
"        With public coverage","24.5%","±2.5"
"        No health insurance coverage","7.4%","±2.4"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","1.8%","±1.1"
"        With related children of the householder under 18 years","2.3%","±2"
"            With related children of the householder under 5 years only","N","N"
"    Married-couple family","N","N"
"        With related children of the householder under 18 years","2.2%","±2.2"
"            With related children of the householder under 5 years only","N","N"
"    Female householder, no husband present, family","N","N"
"        With related children of the householder under 18 years","N","N"
"            With related children of the householder under 5 years only","-","**"
"    All people","5.4%","±1.7"
"    Under 18 years","3.2%","±3"
"        Related children of the householder under 18 years","3.2%","±3"
"            Related children of the householder under 5 years","N","N"
"            Related children of the householder 5 to 17 years","N","N"
"    18 years and over","6%","±1.8"
"    18 to 64 years","6.3%","±2.4"
"    65 years and over","5.2%","±2.9"
"    People in families","2.2%","±1.5"
"    Unrelated individuals 15 years and over","20.1%","±4.9"
"HOUSING TENURE","",""
"    Occupied housing units","28,119","±2,651"
"        Owner-occupied housing units","65%","±4.7"
"        Renter-occupied housing units","35%","±4.7"
"        Average household size of owner-occupied unit","2.93","±0.19"
"        Average household size of renter-occupied unit","2.5","±0.41"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","28,119","±2,651"
"        1-unit, detached or attached","50.5%","±4.5"
"        2 to 4 units","14.4%","±3.6"
"        5 or more units","34.8%","±4.7"
"        Mobile home, boat, RV, van, etc.","0.2%","±0.3"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","28,119","±2,651"
"        Built 2014 or later","1%","±0.7"
"        Built 2010 to 2013","1.3%","±1.1"
"        Built 2000 to 2009","9.5%","±2.9"
"        Built 1980 to 1999","13.8%","±3.1"
"        Built 1960 to 1979","26%","±3.9"
"        Built 1940 to 1959","25%","±4.4"
"        Built 1939 or earlier","23.5%","±4.4"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","28,119","±2,651"
"        None","12.2%","±3.7"
"        1 or more","87.8%","±3.7"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","28,119","±2,651"
"        Gas","83.9%","±3.9"
"        Electricity","14.9%","±3.9"
"        All other fuels","0.4%","±0.5"
"        No fuel used","0.8%","±0.8"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","28,119","±2,651"
"        No telephone service available","N","N"
"        1.01 or more occupants per room","8%","±2.9"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","13,890","±1,719"
"        Less than 30 percent","66.6%","±6.5"
"        30 percent or more","33.4%","±6.5"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","18,285","±2,150"
"        Median value (dollars)","296,200","±19,182"
"        Median selected monthly owner costs with a mortgage (dollars)","2,072","±106"
"        Median selected monthly owner costs without a mortgage (dollars)","797","±61"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","9,518","±1,642"
"        Less than 30 percent","61.6%","±9.1"
"        30 percent or more","38.4%","±9.1"
"GROSS RENT","",""
"    Occupied units paying rent","9,652","±1,628"
"        Median gross rent (dollars)","1,179","±93"
"COMPUTERS AND INTERNET USE","",""
"    Total households","28,119","±2,651"
"        With a computer","96.1%","±2.3"
"        With a broadband Internet subscription","91.2%","±3"
