"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"        Percent enrolled in kindergarten to grade 12","54.6%","±7.0"
"        Percent enrolled in college or graduate school","37.4%","±6.9"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","54,581","±5,177"
"        Less than high school diploma","4.4%","±1.7"
"        High school graduate (includes equivalency)","8.2%","±2.1"
"        Some college or associate's degree","22.2%","±2.9"
"        Bachelor's degree","52.6%","±3.4"
"        Graduate or professional degree","12.5%","±2.1"
"    High school graduate or higher","95.6%","±1.7"
"        Male, high school graduate or higher","95.9%","±2.1"
"        Female, high school graduate or higher","95.3%","±1.9"
"    Bachelor's degree or higher","65.2%","±3.7"
"        Male, bachelor's degree or higher","56.7%","±5.9"
"        Female, bachelor's degree or higher","71.6%","±3.7"
"FERTILITY","",""
"    Women 15 to 50 years","20,084","±2,226"
"        Women 15 to 50 years who had a birth in the past 12 months","873","±370"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"                As a percent of all women with a birth in the past 12 months","N","N"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","48,665","±4,611"
"        Grandparents living with grandchild(ren)","6.1%","±1.9"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","19.7%","±12.1"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","60,993","±5,702"
"        Civilian veteran","1.7%","±0.6"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","74,991","±7,012"
"        With a disability","8.8%","±1.5"
"    Civilian noninstitutionalized population under 18 years","14,237","±2,190"
"        With a disability","4.2%","±2.3"
"    Civilian noninstitutionalized population 18 to 64 years","50,018","±4,916"
"        With a disability","4.4%","±1.2"
"    Civilian noninstitutionalized population 65 years and older","10,736","±1,854"
"        With a disability","34.9%","±7.8"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","74,502","±6,938"
"        Same house","86.2%","±3.2"
"        Different house in the U.S.","12.0%","±2.9"
"            Same county","10.7%","±2.8"
"            Different county","1.3%","±0.7"
"                Same state","0.7%","±0.5"
"                Different state","0.6%","±0.5"
"        Abroad","1.8%","±1.0"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","30,603","±3,424"
"        Male","51.6%","±3.5"
"        Female","48.4%","±3.5"
"    Foreign born","44,627","±4,821"
"        Male","41.3%","±2.7"
"        Female","58.7%","±2.7"
"    Foreign born; naturalized U.S. citizen","28,941","±3,429"
"        Male","40.5%","±2.9"
"        Female","59.5%","±2.9"
"    Foreign born; not a U.S. citizen","15,686","±2,567"
"        Male","42.8%","±5.4"
"        Female","57.2%","±5.4"
"    Population born outside the United States","44,627","±4,821"
"        Entered 2010 or later","15.8%","±2.8"
"        Entered 2000 to 2009","29.6%","±4.4"
"        Entered before 2000","54.5%","±4.7"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","44,627","±4,821"
"        Europe","N","N"
"        Asia","N","N"
"        Africa","N","N"
"        Oceania","N","N"
"        Latin America","N","N"
"        Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","71,409","±6,740"
"        English only","39.4%","±3.5"
"        Language other than English","60.6%","±3.5"
"            Speak English less than ""very well""","18.6%","±2.7"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","62,397","±5,709"
"        In labor force","71.2%","±2.9"
"            Civilian labor force","71.2%","±2.9"
"                Employed","68.8%","±2.9"
"                Unemployed","2.4%","±0.8"
"                    Unemployment Rate","3.4%","±1.1"
"            Armed Forces","0.0%","±0.2"
"        Not in labor force","28.8%","±2.9"
"    Females 16 years and over","34,920","±3,172"
"        In labor force","71.5%","±3.5"
"            Civilian labor force","71.5%","±3.5"
"                Employed","68.8%","±3.4"
"                Unemployed","2.6%","±1.1"
"                    Unemployment Rate","3.7%","±1.5"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","42,298","±3,891"
"        Car, truck, or van - drove alone","63.0%","±4.6"
"        Car, truck, or van - carpooled","10.9%","±2.5"
"        Public transportation (excluding taxicab)","15.0%","±3.2"
"        Walked","2.4%","±1.0"
"        Other means","4.4%","±2.2"
"        Worked at home","4.3%","±1.7"
"        Mean travel time to work (minutes)","32.5","±1.8"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","42,935","±3,960"
"        Management, business, science, and arts occupations","53.6%","±4.1"
"        Service occupations","20.3%","±3.4"
"        Sales and office occupations","19.4%","±2.6"
"        Natural resources, construction, and maintenance occupations","1.5%","±0.8"
"        Production, transportation, and material moving occupations","5.2%","±1.4"
"    Male civilian employed population 16 years and over","18,894","±2,327"
"        Management, business, science, and arts occupations","50.0%","±6.2"
"        Service occupations","18.7%","±4.3"
"        Sales and office occupations","18.7%","±4.3"
"        Natural resources, construction, and maintenance occupations","3.4%","±2.0"
"        Production, transportation, and material moving occupations","9.2%","±2.7"
"    Female civilian employed population 16 years and over","24,041","±2,328"
"        Management, business, science, and arts occupations","56.3%","±5.2"
"        Service occupations","21.6%","±5.0"
"        Sales and office occupations","19.9%","±3.7"
"        Natural resources, construction, and maintenance occupations","0.0%","±0.6"
"        Production, transportation, and material moving occupations","2.1%","±1.6"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","42,935","±3,960"
"        Agriculture, forestry, fishing and hunting, and mining","0.3%","±0.5"
"        Construction","0.7%","±0.5"
"        Manufacturing","3.8%","±1.4"
"        Wholesale trade","1.8%","±0.9"
"        Retail trade","7.4%","±1.9"
"        Transportation and warehousing, and utilities","4.4%","±1.4"
"        Information","1.7%","±0.9"
"        Finance and insurance, and real estate and rental and leasing","6.4%","±1.7"
"        Professional, scientific, and management, and administrative and waste management services","11.1%","±2.1"
"        Educational services, and health care and social assistance","48.5%","±3.9"
"        Arts, entertainment, and recreation, and accommodation and food services","6.1%","±1.9"
"        Other services (except public administration)","6.1%","±2.2"
"        Public administration","1.6%","±0.9"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","42,935","±3,960"
"        Private wage and salary workers","87.7%","±2.5"
"        Government workers","7.0%","±1.9"
"        Self-employed workers in own not incorporated business","5.0%","±1.6"
"        Unpaid family workers","0.4%","±0.4"
"INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","23,580","±1,981"
"        Median household income (dollars)","85,467","±7,786"
"    With earnings","91.9%","±2.8"
"        Mean earnings (dollars)","101,973","±7,098"
"    With Social Security income","23.1%","±4.1"
"        Mean Social Security income (dollars)","22,845","±3,043"
"    With Supplemental Security Income","4.7%","±2.5"
"        Mean Supplemental Security Income (dollars)","10,650","±3,036"
"    With cash public assistance income","2.2%","±1.0"
"        Mean cash public assistance income (dollars)","N","N"
"    With retirement income","12.7%","±2.8"
"        Mean retirement income (dollars)","30,206","±8,772"
"    With Food Stamp/SNAP benefits","8.1%","±2.7"
"    Families","16,318","±1,788"
"        Median family income (dollars)","100,429","±5,589"
"            Married-couple family","74.3%","±5.2"
"        Median income (dollars)","104,882","±8,818"
"            Male householder, no spouse present, family","4.7%","±2.3"
"        Median income (dollars)","71,106","±53,005"
"            Female householder, no husband present, family","20.9%","±4.8"
"        Median income (dollars)","66,060","±25,901"
"    Individuals","75,230","±7,004"
"        Per capita income (dollars)","36,278","±2,664"
"    With earnings for full-time, year-round workers:","",""
"        Male","13,063","±1,935"
"        Female","17,823","±2,054"
"    Mean earnings (dollars) for full-time, year-round workers:","",""
"        Male","63,322","±5,376"
"        Female","66,830","±5,867"
"    Median earnings (dollars) full-time, year-round workers:","",""
"        Male","51,614","±3,039"
"        Female","53,860","±5,870"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","74,991","±7,012"
"        With private health insurance","77.8%","±2.8"
"        With public coverage","22.9%","±2.9"
"        No health insurance coverage","5.8%","±1.4"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","4.7%","±2.6"
"        With related children of the householder under 18 years","3.8%","±2.7"
"            With related children of the householder under 5 years only","N","N"
"        Married-couple family","3.4%","±3.0"
"            With related children of the householder under 18 years","N","N"
"                With related children of the householder under 5 years only","N","N"
"        Female householder, no husband present, family","8.7%","±6.4"
"            With related children of the householder under 18 years","13.1%","±10.6"
"                With related children of the householder under 5 years only","N","N"
"    All people","5.5%","±1.7"
"        Under 18 years","3.7%","±2.7"
"            Related children of the householder under 18 years","3.4%","±2.7"
"                Related children of the householder under 5 years","N","N"
"                Related children of the householder 5 to 17 years","N","N"
"        18 years and over","5.9%","±1.9"
"        18 to 64 years","4.7%","±1.6"
"        65 years and over","11.5%","±7.7"
"        People in families","3.7%","±1.8"
"        Unrelated individuals 15 years and over","15.8%","±5.5"
"HOUSING TENURE","",""
"    Occupied housing units","23,580","±1,981"
"        Owner-occupied housing units","57.7%","±4.5"
"        Renter-occupied housing units","42.3%","±4.5"
"    Average household size of owner-occupied unit","3.27","±0.25"
"    Average household size of renter-occupied unit","2.57","±0.24"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","23,580","±1,981"
"        1-unit, detached or attached","46.8%","±4.5"
"        2 to 4 units","20.8%","±4.1"
"        5 or more units","31.8%","±5.0"
"        Mobile home, boat, RV, van, etc.","0.6%","±0.8"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","23,580","±1,981"
"        Built 2014 or later","1.0%","±0.8"
"        Built 2010 to 2013","1.1%","±0.8"
"        Built 2000 to 2009","9.1%","±3.1"
"        Built 1980 to 1999","12.7%","±3.0"
"        Built 1960 to 1979","29.5%","±4.7"
"        Built 1940 to 1959","26.9%","±4.0"
"        Built 1939 or earlier","19.7%","±3.9"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","23,580","±1,981"
"        None","12.8%","±3.5"
"        1 or more","87.2%","±3.5"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","23,580","±1,981"
"        Gas","83.8%","±3.5"
"        Electricity","13.5%","±3.1"
"        All other fuels","0.6%","±0.6"
"        No fuel used","2.1%","±1.4"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","23,580","±1,981"
"        No telephone service available","2.9%","±1.6"
"        1.01 or more occupants per room","5.4%","±1.8"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","10,147","±1,298"
"        Less than 30 percent","64.4%","±6.4"
"        30 percent or more","35.6%","±6.4"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","13,595","±1,413"
"        Median value (dollars)","279,700","±15,266"
"        Median selected monthly owner costs with a mortgage (dollars)","2,048","±151"
"        Median selected monthly owner costs without a mortgage (dollars)","757","±50"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","9,763","±1,470"
"        Less than 30 percent","64.7%","±6.6"
"        30 percent or more","35.3%","±6.6"
"GROSS RENT","",""
"    Occupied units paying rent","9,802","±1,470"
"        Median gross rent (dollars)","1,132","±91"
"COMPUTERS AND INTERNET USE","",""
"    Total households","23,580","±1,981"
"        With a computer","95.7%","±2.5"
"        With a broadband Internet subscription","90.5%","±3.5"
