"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination!!Estimate","Cook County, Illinois!!Filipino alone or in any combination!!Margin of Error"
"        Owner-occupied housing units","65.2%","±5.2"
"        Renter-occupied housing units","34.8%","±5.2"
"        Average household size of owner-occupied unit","2.86","±0.17"
"        Average household size of renter-occupied unit","2.37","±0.29"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","29,191","±2,483"
"        1-unit, detached or attached","50.0%","±5.3"
"        2 to 4 units","13.5%","±3.2"
"        5 or more units","36.0%","±5.0"
"        Mobile home, boat, RV, van, etc.","0.5%","±0.8"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","29,191","±2,483"
"        Built 2020 or later","0.0%","±0.6"
"        Built 2010 to 2019","5.3%","±2.5"
"        Built 2000 to 2009","9.3%","±3.2"
"        Built 1980 to 1999","15.8%","±3.6"
"        Built 1960 to 1979","31.3%","±4.3"
"        Built 1940 to 1959","20.6%","±3.7"
"        Built 1939 or earlier","17.8%","±3.8"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","29,191","±2,483"
"        None","14.1%","±3.6"
"        1 or more","85.9%","±3.6"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","29,191","±2,483"
"        Gas","78.0%","±4.8"
"        Electricity","20.6%","±4.7"
"        All other fuels","1.5%","±1.1"
"        No fuel used","0.0%","±0.6"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","29,191","±2,483"
"        No telephone service available","0.6%","±0.6"
"        1.01 or more occupants per room","5.5%","±2.4"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","12,966","±1,742"
"        Less than 30 percent","77.4%","±6.0"
"        30 percent or more","22.6%","±6.0"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","19,047","±2,155"
"        Median value (dollars)","302,000","±24,382"
"        Median selected monthly owner costs with a mortgage (dollars)","2,018","±140"
"        Median selected monthly owner costs without a mortgage (dollars)","755","±56"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","9,315","±1,680"
"        Less than 30 percent","68.4%","±9.0"
"        30 percent or more","31.6%","±9.0"
"GROSS RENT","",""
"    Occupied units paying rent","9,746","±1,797"
"        Median gross rent (dollars)","1,330","±92"
"COMPUTERS AND INTERNET USE","",""
"    Total households","29,191","±2,483"
"        With a computer","99.3%","±0.6"
"        With a broadband Internet subscription","93.5%","±3.1"
