"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination!!Estimate","Cook County, Illinois!!Filipino alone or in any combination!!Margin of Error"
"        College or graduate school","28.7%","±4.6"
"        Male 3 years and over enrolled in school","10,833","±1,905"
"            Percent enrolled in kindergarten to grade 12","67.2%","±6.4"
"            Percent enrolled in college or graduate school","25.6%","±6.1"
"        Female 3 years and over enrolled in school","12,099","±2,365"
"            Percent enrolled in kindergarten to grade 12","59.8%","±8.9"
"            Percent enrolled in college or graduate school","31.4%","±7.4"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","66,048","±5,730"
"        Less than high school diploma","2.9%","±1.0"
"        High school graduate (includes equivalency)","6.3%","±1.8"
"        Some college or associate's degree","23.2%","±2.9"
"        Bachelor's degree","53.9%","±3.5"
"        Graduate or professional degree","13.9%","±2.5"
"        High school graduate or higher","97.1%","±1.0"
"            Male, high school graduate or higher","98.2%","±1.0"
"            Female, high school graduate or higher","96.4%","±1.7"
"        Bachelor's degree or higher","67.7%","±3.2"
"            Male, bachelor's degree or higher","61.9%","±5.2"
"            Female, bachelor's degree or higher","72.0%","±3.6"
"FERTILITY","",""
"    Women 15 to 50 years","24,154","±3,084"
"        Women 15 to 50 years who had a birth in the past 12 months","719","±356"
"            Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"                As a percent of all women with a birth in the past 12 months","N","N"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","60,275","±5,321"
"        Grandparents living with grandchild(ren)","4.2%","±1.4"
"            Grandparents responsible for grandchildren as a percentage of living with grandchildren","13.8%","±12.8"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","71,077","±6,050"
"        Civilian veteran","1.9%","±0.9"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","90,129","±7,684"
"        With a disability","9.2%","±1.7"
"    Civilian noninstitutionalized population under 18 years","19,453","±2,625"
"        With a disability","2.4%","±1.6"
"    Civilian noninstitutionalized population 18 to 64 years","55,094","±5,143"
"        With a disability","6.0%","±1.9"
"    Civilian noninstitutionalized population 65 years and older","15,582","±2,531"
"        With a disability","29.3%","±6.5"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","89,814","±7,625"
"        Same house","89.4%","±2.1"
"        Different house in the U.S.","9.8%","±2.0"
"            Same county","6.9%","±1.7"
"            Different county","2.9%","±1.5"
"                Same state","1.3%","±1.1"
"                Different state","1.6%","±1.2"
"        Abroad","0.8%","±0.5"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","40,028","±4,872"
"        Male","48.7%","±4.6"
"        Female","51.3%","±4.6"
"    Foreign born","50,538","±5,654"
"        Male","42.0%","±2.7"
"        Female","58.0%","±2.7"
"        Foreign born; naturalized U.S. citizen","39,005","±4,456"
"            Male","44.0%","±2.6"
"            Female","56.0%","±2.6"
"        Foreign born; not a U.S. citizen","11,533","±3,043"
"            Male","35.1%","±7.6"
"            Female","64.9%","±7.6"
"    Population born outside the United States","50,538","±5,654"
"        Entered 2010 or later","21.6%","±5.0"
"        Entered 2000 to 2009","24.3%","±4.6"
"        Entered before 2000","54.0%","±5.1"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","50,538","±5,654"
"        Europe","N","N"
"        Asia","N","N"
"        Africa","N","N"
"        Oceania","N","N"
"        Latin America","N","N"
"        Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","86,058","±7,431"
"        English only","40.0%","±3.9"
"        Language other than English","60.0%","±3.9"
"            Speak English less than ""very well""","16.7%","±3.2"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","73,395","±6,248"
"        In labor force","70.4%","±3.5"
"            Civilian labor force","70.4%","±3.5"
"                Employed","68.5%","±3.7"
"                Unemployed","1.9%","±1.1"
"                    Unemployment Rate","2.7%","±1.6"
"            Armed Forces","0.0%","±0.1"
"        Not in labor force","29.6%","±3.5"
"    Females 16 years and over","41,805","±4,053"
"        In labor force","70.1%","±4.0"
"            Civilian labor force","70.1%","±4.0"
"                Employed","68.5%","±4.2"
"                Unemployed","1.6%","±1.1"
"                    Unemployment Rate","2.3%","±1.6"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","49,457","±4,879"
"        Car, truck, or van - drove alone","56.1%","±4.8"
"        Car, truck, or van - carpooled","13.0%","±2.8"
"        Public transportation (excluding taxicab)","9.3%","±2.9"
"        Walked","3.2%","±1.5"
"        Other means","3.4%","±1.9"
"        Worked from home","15.0%","±2.9"
"        Mean travel time to work (minutes)","30.6","±2.1"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","50,255","±4,922"
"        Management, business, science, and arts occupations","63.6%","±4.8"
"        Service occupations","14.6%","±3.0"
"        Sales and office occupations","15.5%","±3.5"
"        Natural resources, construction, and maintenance occupations","2.6%","±1.2"
"        Production, transportation, and material moving occupations","3.8%","±1.5"
"    Male civilian employed population 16 years and over","21,615","±2,609"
"        Management, business, science, and arts occupations","60.2%","±7.1"
"        Service occupations","14.8%","±4.6"
"        Sales and office occupations","14.1%","±4.9"
"        Natural resources, construction, and maintenance occupations","5.6%","±2.6"
"        Production, transportation, and material moving occupations","5.3%","±2.6"
"    Female civilian employed population 16 years and over","28,640","±3,407"
"        Management, business, science, and arts occupations","66.2%","±5.6"
"        Service occupations","14.4%","±3.6"
"        Sales and office occupations","16.5%","±4.5"
"        Natural resources, construction, and maintenance occupations","0.3%","±0.6"
"        Production, transportation, and material moving occupations","2.6%","±1.8"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","50,255","±4,922"
"        Agriculture, forestry, fishing and hunting, and mining","0.0%","±0.3"
"        Construction","1.8%","±1.2"
"        Manufacturing","5.6%","±1.7"
"        Wholesale trade","1.4%","±0.9"
"        Retail trade","10.6%","±2.8"
"        Transportation and warehousing, and utilities","5.1%","±1.4"
"        Information","1.7%","±1.1"
"        Finance and insurance, and real estate and rental and leasing","6.7%","±2.2"
"        Professional, scientific, and management, and administrative and waste management services","12.6%","±2.8"
"        Educational services, and health care and social assistance","42.6%","±3.6"
"        Arts, entertainment, and recreation, and accommodation and food services","6.3%","±1.8"
"        Other services (except public administration)","4.3%","±1.6"
"        Public administration","1.1%","±0.5"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","50,255","±4,922"
"        Private wage and salary workers","86.8%","±2.4"
"        Government workers","7.3%","±1.7"
"        Self-employed workers in own not incorporated business","4.3%","±1.7"
"        Unpaid family workers","1.5%","±1.3"
"INCOME IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","32,190","±2,880"
"        Median household income (dollars)","107,149","±12,278"
"        With earnings","88.4%","±3.4"
"            Mean earnings (dollars)","138,669","±12,071"
"        With Social Security income","25.2%","±4.3"
"            Mean Social Security income (dollars)","22,259","±3,235"
"        With Supplemental Security Income","2.6%","±1.3"
"            Mean Supplemental Security Income (dollars)","10,556","±2,304"
"        With cash public assistance income","1.8%","±1.1"
"            Mean cash public assistance income (dollars)","1,316","±398"
"        With retirement income","21.4%","±4.2"
"            Mean retirement income (dollars)","37,426","±14,551"
"        With Food Stamp/SNAP benefits","10.5%","±3.0"
"    Families","23,121","±2,222"
"        Median family income (dollars)","116,764","±15,193"
"            Married-couple family","71.5%","±5.3"
"        Median income (dollars)","131,647","±16,054"
"            Male householder, no spouse present, family","7.1%","±2.9"
"        Median income (dollars)","66,976","±35,752"
"            Female householder, no husband present, family","21.4%","±5.2"
"        Median income (dollars)","79,306","±32,774"
"    Individuals","90,566","±7,695"
"        Per capita income (dollars)","48,992","±4,281"
"        With earnings for full-time, year-round workers:","",""
"            Male","17,248","±2,043"
"            Female","21,465","±2,624"
"        Mean earnings (dollars)  for full-time, year-round workers:","",""
"            Male","94,241","±13,507"
"            Female","84,672","±7,268"
"        Median earnings (dollars) full-time, year-round workers:","",""
"            Male","76,360","±6,870"
"            Female","72,794","±8,672"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","90,129","±7,684"
"        With private health insurance","72.6%","±4.2"
"        With public coverage","26.9%","±3.1"
"        No health insurance coverage","8.7%","±2.9"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","5.4%","±2.4"
"        With related children of the householder under 18 years","7.6%","±4.6"
"            With related children of the householder under 5 years only","N","N"
"        Married-couple family","3.0%","±1.7"
"            With related children of the householder under 18 years","3.4%","±3.3"
"                With related children of the householder under 5 years only","N","N"
"        Female householder, no spouse present, family","10.1%","±6.5"
"            With related children of the householder under 18 years","12.0%","±10.4"
"                With related children of the householder under 5 years only","N","N"
"    All people","7.3%","±2.1"
"        Under 18 years","9.4%","±4.9"
"            Related children of the householder under 18 years","9.4%","±4.9"
"                Related children of the householder under 5 years","16.1%","±16.1"
"                Related children of the householder 5 to 17 years","7.3%","±4.8"
"        18 years and over","6.8%","±1.8"
"            18 to 64 years","6.2%","±1.7"
"            65 years and over","8.7%","±4.2"
"        People in families","5.6%","±2.4"
"        Unrelated individuals 15 years and over","16.8%","±5.6"
"HOUSING TENURE","",""
"    Occupied housing units","32,190","±2,880"
"        Owner-occupied housing units","63.9%","±5.3"
"        Renter-occupied housing units","36.1%","±5.3"
"        Average household size of owner-occupied unit","2.94","±0.16"
"        Average household size of renter-occupied unit","2.26","±0.22"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","32,190","±2,880"
"        1-unit, detached or attached","53.1%","±4.9"
"        2 to 4 units","16.8%","±3.5"
"        5 or more units","29.9%","±4.1"
"        Mobile home, boat, RV, van, etc.","0.2%","±0.4"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","32,190","±2,880"
"        Built 2020 or later","0.3%","±0.4"
"        Built 2010 to 2019","3.4%","±2.0"
"        Built 2000 to 2009","12.5%","±3.2"
"        Built 1980 to 1999","16.6%","±3.7"
"        Built 1960 to 1979","25.0%","±4.2"
"        Built 1940 to 1959","22.2%","±4.3"
"        Built 1939 or earlier","19.9%","±4.7"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","32,190","±2,880"
"        None","12.7%","±3.5"
"        1 or more","87.3%","±3.5"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","32,190","±2,880"
"        Gas","85.2%","±4.0"
"        Electricity","14.2%","±4.0"
"        All other fuels","0.1%","±0.1"
"        No fuel used","0.5%","±0.5"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","32,190","±2,880"
"        No telephone service available","N","N"
"        1.01 or more occupants per room","5.6%","±2.3"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","15,139","±1,863"
"        Less than 30 percent","72.4%","±6.7"
"        30 percent or more","27.6%","±6.7"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","20,580","±2,248"
"        Median value (dollars)","353,100","±16,410"
"        Median selected monthly owner costs with a mortgage (dollars)","2,269","±135"
"        Median selected monthly owner costs without a mortgage (dollars)","876","±91"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","10,900","±2,201"
"        Less than 30 percent","67.0%","±9.0"
"        30 percent or more","33.0%","±9.0"
"GROSS RENT","",""
"    Occupied units paying rent","11,078","±2,166"
"        Median gross rent (dollars)","1,426","±124"
"COMPUTERS AND INTERNET USE","",""
"    Total households","32,190","±2,880"
"        With a computer","97.8%","±2.5"
"        With a broadband Internet subscription","93.3%","±2.5"
