"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination!!Estimate","Cook County, Illinois!!Filipino alone or in any combination!!Margin of Error"
"    Percent enrolled in kindergarten to grade 12","52.6%","±11.3"
"    Percent enrolled in college or graduate school","39.8%","±10.9"
"        Female 3 years and over enrolled in school","8,186","±2,004"
"    Percent enrolled in kindergarten to grade 12","48.8%","±12.6"
"    Percent enrolled in college or graduate school","46.5%","±12.4"
"EDUCATIONAL ATTAINMENT","",""
"    Population 25 years and over","52,711","±4,553"
"    Less than high school diploma","4.4%","±1.8"
"    High school graduate (includes equivalency)","6.8%","±2.5"
"    Some college or associate's degree","23.2%","±3.1"
"    Bachelor's degree","55.0%","±4.1"
"    Graduate or professional degree","10.6%","±2.2"
"    High school graduate or higher","95.6%","±1.8"
"    Male, high school graduate or higher","95.9%","±2.2"
"    Female, high school graduate or higher","95.4%","±2.1"
"    Bachelor's degree or higher","65.6%","±4.3"
"    Male, bachelor's degree or higher","60.6%","±6.2"
"    Female, bachelor's degree or higher","69.4%","±4.8"
"FERTILITY","",""
"    Women 15 to 50 years","20,299","±2,517"
"    Women 15 to 50 years who had a birth in the past 12 months","1,183","±672"
"        Unmarried women 15 to 50 years who had a birth in the past 12 months","N","N"
"            As a percent of all women with a birth in the past 12 months","N","N"
"RESPONSIBILITY FOR GRANDCHILDREN UNDER 18 YEARS","",""
"    Population 30 years and over","45,809","±3,943"
"    Living with grandchild(ren)","2.8%","±1.6"
"        Responsible for grandchild(ren)","N","N"
"VETERAN STATUS","",""
"    Civilian population 18 years and over","58,505","±4,968"
"    Civilian veteran","1.3%","±0.7"
"DISABILITY STATUS","",""
"    Total civilian noninstitutionalized population","72,027","±6,853"
"    With a disability","6.7%","±2.1"
"    Civilian noninstitutionalized population under 18 years","13,839","±2,897"
"    With a disability","0.7%","±1.1"
"    Civilian noninstitutionalized population 18 to 64 years","49,181","±4,679"
"    With a disability","5.2%","±2.1"
"    Civilian noninstitutionalized population 65 years and older","9,007","±1,375"
"    With a disability","24.0%","±7.2"
"RESIDENCE 1 YEAR AGO","",""
"    Population 1 year and over","71,564","±6,688"
"    Same house","89.1%","±3.9"
"    Different house in the U.S.","9.5%","±3.7"
"        Same county","7.9%","±3.5"
"        Different county","1.6%","±0.9"
"            Same state","0.4%","±0.3"
"            Different state","1.1%","±0.8"
"    Abroad","1.4%","±1.2"
"PLACE OF BIRTH, CITIZENSHIP STATUS AND YEAR OF ENTRY","",""
"    Native","26,113","±3,566"
"    Male","53.4%","±6.2"
"    Female","46.6%","±6.2"
"    Foreign born","46,231","±5,444"
"    Male","43.4%","±3.2"
"    Female","56.6%","±3.2"
"    Foreign born; naturalized U.S. citizen","30,395","±3,979"
"    Male","44.6%","±3.8"
"    Female","55.4%","±3.8"
"    Foreign born; not a U.S. citizen","15,836","±3,724"
"    Male","41.3%","±7.7"
"    Female","58.7%","±7.7"
"    Population born outside the United States","46,231","±5,444"
"    Entered 2000 or later","28.4%","±5.8"
"    Entered 1990 to 1999","24.8%","±5.5"
"    Entered before 1990","46.8%","±5.3"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","46,231","±5,444"
"    Europe","N","N"
"    Asia","N","N"
"    Africa","N","N"
"    Oceania","N","N"
"    Latin America","N","N"
"    Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","67,542","±6,384"
"    English only","32.3%","±4.3"
"    Language other than English","67.7%","±4.3"
"        Speak English less than ""very well""","20.3%","±4.0"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","59,988","±5,241"
"    In labor force","75.8%","±3.4"
"        Civilian labor force","75.8%","±3.4"
"            Employed","69.8%","±3.5"
"            Unemployed","6.0%","±1.7"
"                Percent of civilian labor force","7.9%","±2.2"
"        Armed Forces","0.0%","±0.3"
"    Not in labor force","24.2%","±3.4"
"    Females 16 years and over","33,506","±3,201"
"    In labor force","74.8%","±3.1"
"        Civilian labor force","74.8%","±3.1"
"            Employed","69.0%","±3.6"
"            Unemployed","5.8%","±2.1"
"                Percent of civilian labor force","7.7%","±2.8"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","41,268","±4,146"
"    Car, truck, or van - drove alone","63.3%","±4.1"
"    Car, truck, or van - carpooled","10.4%","±2.7"
"    Public transportation (excluding taxicab)","18.0%","±2.8"
"    Walked","3.4%","±2.0"
"    Other means","1.6%","±2.0"
"    Worked at home","3.3%","±2.0"
"    Mean travel time to work (minutes)","32.3","±2.0"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","41,876","±4,215"
"    Management, business, science, and arts occupations","55.6%","±4.3"
"    Service occupations","16.1%","±3.9"
"    Sales and office occupations","20.0%","±3.8"
"    Natural resources, construction, and maintenance occupations","2.1%","±1.0"
"    Production, transportation, and material moving occupations","6.2%","±1.8"
"    Male civilian employed population 16 years and over","18,751","±2,403"
"    Management, business, science, and arts occupations","45.6%","±6.5"
"    Service occupations","18.0%","±5.6"
"    Sales and office occupations","21.4%","±5.5"
"    Natural resources, construction, and maintenance occupations","4.7%","±2.3"
"    Production, transportation, and material moving occupations","10.4%","±3.5"
"    Female civilian employed population 16 years and over","23,125","±2,595"
"    Management, business, science, and arts occupations","63.7%","±6.5"
"    Service occupations","14.6%","±5.2"
"    Sales and office occupations","18.8%","±4.7"
"    Natural resources, construction, and maintenance occupations","0.0%","±0.7"
"    Production, transportation, and material moving occupations","2.9%","±1.8"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","41,876","±4,215"
"    Agriculture, forestry, fishing and hunting, and mining","0.0%","±0.4"
"    Construction","0.8%","±0.6"
"    Manufacturing","9.5%","±2.9"
"    Wholesale trade","1.3%","±1.0"
"    Retail trade","7.0%","±2.1"
"    Transportation and warehousing, and utilities","6.9%","±2.5"
"    Information","2.5%","±1.3"
"    Finance and insurance, and real estate and rental and leasing","9.2%","±2.2"
"    Professional, scientific, and management, and administrative and waste management services","9.7%","±2.9"
"    Educational services, and health care and social assistance","42.3%","±3.2"
"    Arts, entertainment, and recreation, and accommodation and food services","4.3%","±1.8"
"    Other services (except public administration)","4.7%","±2.2"
"    Public administration","1.7%","±1.1"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","41,876","±4,215"
"    Private wage and salary workers","88.1%","±3.4"
"    Government workers","7.9%","±2.2"
"    Self-employed workers in own not incorporated business","3.9%","±2.2"
"    Unpaid family workers","0.0%","±0.4"
"INCOME IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","24,310","±2,322"
"    Median household income (dollars)","78,863","±9,131"
"    With earnings","92.9%","±3.0"
"        Mean earnings (dollars)","88,225","±7,498"
"    With Social Security income","21.2%","±4.2"
"        Mean Social Security income (dollars)","17,355","±2,524"
"    With Supplemental Security Income","2.7%","±1.9"
"        Mean Supplemental Security Income (dollars)","6,823","±4,173"
"    With cash public assistance income","2.5%","±1.8"
"        Mean cash public assistance income (dollars)","1,910","±816"
"    With retirement income","10.2%","±3.5"
"        Mean retirement income (dollars)","25,657","±9,123"
"    With Food Stamp/SNAP benefits","5.9%","±2.6"
"    Families","17,208","±1,995"
"    Median family income (dollars)","90,060","±8,725"
"        Married-couple family","77.9%","±5.6"
"    Median income (dollars)","95,909","±7,886"
"        Male householder, no spouse present, family","3.4%","±2.6"
"    Median income (dollars)","N","N"
"        Female householder, no husband present, family","18.7%","±5.8"
"    Median income (dollars)","72,307","±22,179"
"    Individuals","72,344","±6,851"
"    Per capita income (dollars)","31,626","±3,039"
"    With earnings for full-time, year-round workers:","",""
"        Male","14,087","±2,089"
"        Female","16,849","±2,396"
"        Mean earnings (dollars) for full-time, year-round workers:","",""
"            Male","56,440","±6,535"
"            Female","58,708","±6,053"
"        Median earnings (dollars) full-time, year-round workers:","",""
"            Male","46,376","±4,682"
"            Female","51,444","±4,080"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","72,027","±6,853"
"    With private health insurance","77.9%","±3.7"
"    With public coverage","15.7%","±2.5"
"    No health insurance coverage","12.3%","±4.0"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","3.1%","±2.2"
"        With related children under 18 years","4.2%","±3.7"
"            With related children under 5 years only","N","N"
"    Married-couple family","N","N"
"        With related children under 18 years","N","N"
"            With related children under 5 years only","N","N"
"    Female householder, no husband present, family","N","N"
"        With related children under 18 years","32.5%","±26.0"
"            With related children under 5 years only","N","N"
"    All people","5.3%","±2.0"
"    Under 18 years","6.8%","±5.5"
"        Related children under 18 years","6.8%","±5.5"
"            Related children under 5 years","N","N"
"            Related children 5 to 17 years","N","N"
"    18 years and over","4.9%","±1.7"
"    18 to 64 years","4.6%","±1.6"
"    65 years and over","6.8%","±5.7"
"    People in families","3.1%","±2.1"
"    Unrelated individuals 15 years and over","17.4%","±5.4"
"HOUSING TENURE","",""
"    Occupied housing units","24,310","±2,322"
"    Owner-occupied housing units","67.5%","±4.9"
"    Renter-occupied housing units","32.5%","±4.9"
"    Average household size of owner-occupied unit","3.02","±0.26"
"    Average household size of renter-occupied unit","2.36","±0.22"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","24,310","±2,322"
"    1-unit, detached or attached","45.1%","±5.5"
"    2 to 4 units","13.4%","±4.5"
"    5 or more units","41.3%","±5.4"
"    Mobile home, boat, RV, van, etc.","0.2%","±0.3"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","24,310","±2,322"
"    Built 2000 or later","13.3%","±3.5"
"    Built 1990 to 1999","6.3%","±2.8"
"    Built 1980 to 1989","7.5%","±3.0"
"    Built 1960 to 1979","29.3%","±4.5"
"    Built 1940 to 1959","20.1%","±3.9"
"    Built 1939 or earlier","23.5%","±4.0"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","24,310","±2,322"
"    None","11.9%","±4.0"
"    1 or more","88.1%","±4.0"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","24,310","±2,322"
"    Gas","85.3%","±3.8"
"    Electricity","14.1%","±3.8"
"    All other fuels","0.5%","±0.6"
"    No fuel used","0.0%","±0.7"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","24,310","±2,322"
"    No telephone service available","2.0%","±1.5"
"    1.01 or more occupants per room","3.8%","±2.0"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","13,813","±1,905"
"    Less than 30 percent","54.9%","±6.6"
"    30 percent or more","45.1%","±6.6"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","16,419","±2,007"
"    Median value (dollars)","263,800","±20,189"
"    Median selected monthly owner costs with a mortgage (dollars)","2,189","±137"
"    Median selected monthly owner costs without a mortgage (dollars)","645","±119"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","7,362","±1,345"
"    Less than 30 percent","62.4%","±9.7"
"    30 percent or more","37.6%","±9.7"
"GROSS RENT","",""
"    Occupied units paying rent","7,362","±1,345"
"    Median gross rent (dollars)","924","±45"
