"Label (Grouping)","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Estimate","Cook County, Illinois!!Filipino alone or in any combination (420-421) and (100-299) or (300, A01-Z99) or (400-999)!!Margin of Error"
"WORLD REGION OF BIRTH OF FOREIGN BORN","",""
"    Foreign-born population excluding population born at sea","48,425","±5,232"
"        Europe","N","N"
"        Asia","N","N"
"        Africa","N","N"
"        Oceania","N","N"
"        Latin America","N","N"
"        Northern America","N","N"
"LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","",""
"    Population 5 years and over","75,991","±8,454"
"        English only","33.5%","±3.0"
"        Language other than English","66.5%","±3.0"
"            Speak English less than ""very well""","17.7%","±2.9"
"EMPLOYMENT STATUS","",""
"    Population 16 years and over","66,253","±7,091"
"        In labor force","72.9%","±2.3"
"            Civilian labor force","72.9%","±2.3"
"                Employed","67.0%","±2.7"
"                Unemployed","5.9%","±1.8"
"                    Percent of civilian labor force","8.1%","±2.4"
"            Armed Forces","0.0%","±0.2"
"        Not in labor force","27.1%","±2.3"
"    Females 16 years and over","37,535","±4,388"
"        In labor force","72.7%","±3.7"
"            Civilian labor force","72.7%","±3.7"
"                Employed","69.0%","±4.1"
"                Unemployed","3.7%","±1.6"
"                    Percent of civilian labor force","5.1%","±2.2"
"COMMUTING TO WORK","",""
"    Workers 16 years and over","43,862","±5,538"
"        Car, truck, or van - drove alone","63.9%","±4.6"
"        Car, truck, or van - carpooled","12.8%","±3.0"
"        Public transportation (excluding taxicab)","14.1%","±2.5"
"        Walked","4.6%","±1.9"
"        Other means","2.1%","±1.1"
"        Worked at home","2.5%","±1.2"
"        Mean travel time to work (minutes)","31.5","±1.6"
"OCCUPATION","",""
"    Civilian employed population 16 years and over","44,375","±5,567"
"        Management, business, science, and arts occupations","50.5%","±3.2"
"        Service occupations","21.6%","±4.4"
"        Sales and office occupations","19.6%","±4.3"
"        Natural resources, construction, and maintenance occupations","2.5%","±1.2"
"        Production, transportation, and material moving occupations","5.8%","±1.7"
"    Male civilian employed population 16 years and over","18,488","±2,235"
"        Management, business, science, and arts occupations","40.7%","±5.3"
"        Service occupations","24.4%","±7.1"
"        Sales and office occupations","16.9%","±3.9"
"        Natural resources, construction, and maintenance occupations","6.0%","±2.9"
"        Production, transportation, and material moving occupations","12.0%","±3.7"
"    Female civilian employed population 16 years and over","25,887","±3,910"
"        Management, business, science, and arts occupations","57.5%","±5.5"
"        Service occupations","19.6%","±4.0"
"        Sales and office occupations","21.5%","±5.8"
"        Natural resources, construction, and maintenance occupations","0.0%","±0.5"
"        Production, transportation, and material moving occupations","1.4%","±0.9"
"INDUSTRY","",""
"    Civilian employed population 16 years and over","44,375","±5,567"
"        Agriculture, forestry, fishing and hunting, and mining","0.0%","±0.3"
"        Construction","1.7%","±0.9"
"        Manufacturing","4.0%","±1.3"
"        Wholesale trade","1.7%","±0.8"
"        Retail trade","10.2%","±2.4"
"        Transportation and warehousing, and utilities","4.2%","±1.4"
"        Information","1.8%","±1.0"
"        Finance and insurance, and real estate and rental and leasing","6.2%","±2.5"
"        Professional, scientific, and management, and administrative and waste management services","6.9%","±1.8"
"        Educational services, and health care and social assistance","50.0%","±3.9"
"        Arts, entertainment, and recreation, and accommodation and food services","8.8%","±2.9"
"        Other services (except public administration)","3.6%","±1.6"
"        Public administration","1.0%","±0.6"
"CLASS OF WORKER","",""
"    Civilian employed population 16 years and over","44,375","±5,567"
"        Private wage and salary workers","90.2%","±2.3"
"        Government workers","6.3%","±1.5"
"        Self-employed workers in own not incorporated business","3.5%","±1.4"
"        Unpaid family workers","0.0%","±0.3"
"INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","",""
"    Households","22,226","±1,886"
"        Median household income (dollars)","90,424","±11,053"
"    With earnings","91.6%","±2.4"
"        Mean earnings (dollars)","97,772","±8,115"
"    With Social Security income","22.9%","±3.7"
"        Mean Social Security income (dollars)","19,799","±2,434"
"    With Supplemental Security Income","3.5%","±1.6"
"        Mean Supplemental Security Income (dollars)","7,285","±1,933"
"    With cash public assistance income","2.4%","±1.4"
"        Mean cash public assistance income (dollars)","3,467","±2,050"
"    With retirement income","11.8%","±3.3"
"        Mean retirement income (dollars)","20,909","±5,891"
"    With Food Stamp/SNAP benefits","7.4%","±2.3"
"    Families","16,003","±1,725"
"        Median family income (dollars)","96,734","±11,049"
"            Married-couple family","78.9%","±5.3"
"        Median income (dollars)","99,299","±9,985"
"            Male householder, no spouse present, family","3.9%","±2.2"
"        Median income (dollars)","90,305","±64,527"
"            Female householder, no husband present, family","17.2%","±5.3"
"        Median income (dollars)","91,497","±27,985"
"    Individuals","79,608","±8,752"
"        Per capita income (dollars)","31,084","±2,180"
"    With earnings for full-time, year-round workers:","",""
"        Male","12,314","±1,608"
"        Female","19,297","±3,447"
"    Mean earnings (dollars) for full-time, year-round workers:","",""
"        Male","62,325","±9,187"
"        Female","58,806","±3,618"
"    Median earnings (dollars) full-time, year-round workers:","",""
"        Male","50,269","±8,985"
"        Female","53,061","±2,515"
"HEALTH INSURANCE COVERAGE","",""
"    Civilian noninstitutionalized population","79,409","±8,745"
"        With private health insurance","78.0%","±3.6"
"        With public coverage","20.2%","±3.4"
"        No health insurance coverage","9.8%","±2.5"
"POVERTY RATES FOR FAMILIES AND PEOPLE FOR WHOM POVERTY STATUS IS DETERMINED","",""
"    All families","3.7%","±2.3"
"        With related children under 18 years","5.1%","±4.0"
"            With related children under 5 years only","N","N"
"        Married-couple family","N","N"
"            With related children under 18 years","6.6%","±5.2"
"                With related children under 5 years only","N","N"
"        Female householder, no husband present, family","N","N"
"            With related children under 18 years","N","N"
"                With related children under 5 years only","N","N"
"    All people","5.5%","±2.1"
"        Under 18 years","6.3%","±4.6"
"            Related children under 18 years","6.3%","±4.6"
"                Related children under 5 years","5.3%","±5.3"
"                Related children 5 to 17 years","6.6%","±5.1"
"        18 years and over","5.2%","±1.8"
"        18 to 64 years","5.5%","±2.1"
"        65 years and over","3.8%","±3.0"
"        People in families","3.9%","±2.3"
"        Unrelated individuals 15 years and over","14.9%","±5.6"
"HOUSING TENURE","",""
"    Occupied housing units","22,226","±1,886"
"        Owner-occupied housing units","65.9%","±4.6"
"        Renter-occupied housing units","34.1%","±4.6"
"    Average household size of owner-occupied unit","3.45","±0.30"
"    Average household size of renter-occupied unit","2.64","±0.25"
"UNITS IN STRUCTURE","",""
"    Occupied housing units","22,226","±1,886"
"        1-unit, detached or attached","46.9%","±4.8"
"        2 to 4 units","17.9%","±3.5"
"        5 or more units","34.7%","±4.7"
"        Mobile home, boat, RV, van, etc.","0.5%","±0.5"
"YEAR STRUCTURE BUILT","",""
"    Occupied housing units","22,226","±1,886"
"        Built 2010 or later","1.1%","±0.9"
"        Built 2000 to 2009","11.9%","±3.8"
"        Built 1980 to 1999","14.3%","±4.6"
"        Built 1960 to 1979","25.6%","±4.0"
"        Built 1940 to 1959","20.3%","±3.6"
"        Built 1939 or earlier","26.9%","±4.7"
"VEHICLES AVAILABLE","",""
"    Occupied housing units","22,226","±1,886"
"        None","9.7%","±2.4"
"        1 or more","90.3%","±2.4"
"HOUSE HEATING FUEL","",""
"    Occupied housing units","22,226","±1,886"
"        Gas","86.0%","±3.0"
"        Electricity","13.4%","±2.9"
"        All other fuels","0.0%","±0.6"
"        No fuel used","0.6%","±0.7"
"SELECTED CHARACTERISTICS","",""
"    Occupied housing units","22,226","±1,886"
"        No telephone service available","3.0%","±1.4"
"        1.01 or more occupants per room","5.6%","±3.9"
"SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Housing units with a mortgage (excluding units where SMOC cannot be computed)","11,588","±1,514"
"        Less than 30 percent","73.2%","±7.0"
"        30 percent or more","26.8%","±7.0"
"OWNER CHARACTERISTICS","",""
"    Owner-occupied housing units","14,641","±1,643"
"        Median value (dollars)","257,700","±17,843"
"        Median selected monthly owner costs with a mortgage (dollars)","2,228","±111"
"        Median selected monthly owner costs without a mortgage (dollars)","741","±87"
"GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS","",""
"    Occupied units paying rent (excluding units where GRAPI cannot be computed)","7,405","±1,180"
"        Less than 30 percent","70.9%","±7.8"
"        30 percent or more","29.1%","±7.8"
"GROSS RENT","",""
"    Occupied units paying rent","7,405","±1,180"
"        Median gross rent (dollars)","1,050","±106"
"COMPUTERS AND INTERNET USE","",""
"    Total households","22,226","±1,886"
"        With a computer","92.9%","±2.9"
"        With a broadband Internet subscription","88.7%","±3.1"
